class	Histoplasma ohiense HCCI_17	Histoplasma ohiense HCCI_6	Histoplasma ohiense HCG217B	Histoplasma ohiense SECH_82-Nam1_CI_4	Histoplasma ohiense SECH_91-Nam2_G217B	Histoplasma ohiense SECH_92-Nam2_G222B	Histoplasma ohiense SECH_93.Nam2_CI_6	Histoplasma ohiense SECH_94-Nam2_CI_9	Histoplasma ohiense SECH_95.Nam2_CI_10	Histoplasma ohiense SECH_96.Nam2_CI_17	Histoplasma ohiense SECH_97-Nam2_CI_18	Histoplasma ohiense SECH_98.Nam2_CI_30	Histoplasma ohiense SECH_99.Nam2_CI_35	Histoplasma ohiensis Hc1986	Histoplasma capsulatum 19VMG15	Histoplasma capsulatum HISSP-CM7256-xx-CL-SEN-xxxx-036-BB	Histoplasma capsulatum Histo-485P20	Histoplasma capsulatum JB_01752-Hc_01752	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum SECH_101-Nam2_G184A	Histoplasma capsulatum SECH_107-mis_Hc_duboisii-B	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma capsulatum HCH143	Histoplasma capsulatum HCG186A	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGGRE2022	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HHISSP-FGFER2036	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-B05821	Histoplasma capsulatum HISSP-11571-Belem1	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum 07_12-RJ	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 122_p_10_B	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 1517_p_17	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum CB063	Histoplasma capsulatum CB066	Histoplasma capsulatum CB180	Histoplasma capsulatum CB052-2	Histoplasma capsulatum CB053-2	Histoplasma capsulatum CB055-2	Histoplasma capsulatum CB062-2	Histoplasma capsulatum CB063-2	Histoplasma capsulatum CB064-2	Histoplasma capsulatum CB065-2	Histoplasma capsulatum CB066-2	Histoplasma capsulatum CB168-2	Histoplasma capsulatum CB174-2	Histoplasma capsulatum CB180-2	Histoplasma capsulatum CB186-2	Histoplasma capsulatum CB192-2	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S11	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S14	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S16	Histoplasma mississippiense II SECH_102Nam2_505	Histoplasma mississippiense II SECH_81-Nam1_WU2	Histoplasma mississippiense II SECH_83-Nam1_CI_7	Histoplasma mississippiense II SECH_84-Nam1_CI_19	Histoplasma mississippiense II SECH_85-Nam1_CI_22	Histoplasma mississippiense II SECH_86-Nam1_CI_24	Histoplasma mississippiense II SECH_87-Nam1_CI_42	Histoplasma mississippiense II SECH_88-Nam1_CI_43	Histoplasma mississippiense II SECH_89-Nam1_UCLA-531	Histoplasma mississippiense II SECH_90-Nam1_DOWNS	Histoplasma mississippiense II HCWU24	Histoplasma mississippiense II HCCI_43	Histoplasma mississippiense II HCCI_19	Histoplasma suramericanum SECH_103-Nam2_3_11G	Histoplasma suramericanum SECH_104-Nam2_27_14	Histoplasma suramericanum SECH_105-Nam2_21_14	Histoplasma suramericanum HC27_14	Histoplasma suramericanum HC21_14	Histoplasma capsulatum CB053	Histoplasma capsulatum CB062	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 327_P_12	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_87	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum SA15
DNA/DTA	0.003957574659	4.62E-04	0.005191912928	1.53E-04	4.20E-04	3.84E-04	NA	0.009232142767	NA	NA	NA	NA	NA	NA	NA	1.44E-05	NA	NA	NA	NA	NA	NA	NA	5.30E-04	NA	NA	NA	1.67E-04	NA	1.14E-04	NA	NA	NA	NA	NA	1.54E-04	NA	NA	8.45E-05	7.65E-04	NA	NA	NA	NA	NA	1.55E-04	NA	NA	NA	NA	NA	NA	0.002148633675	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.42E-04	1.38E-04	3.46E-04	7.29E-04	NA	1.39E-04	1.27E-04	1.35E-04	1.36E-04	1.39E-04	1.29E-04	1.49E-04	1.42E-04	1.25E-04	1.50E-04	NA	NA	NA	NA	1.56E-04	1.55E-04	1.51E-04	1.73E-04	1.68E-04	1.52E-04	1.60E-04	1.64E-04	1.62E-04	1.39E-04	1.38E-04	1.31E-04	NA	NA	NA	3.55E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.79E-05	0.004593289899	NA	NA	3.14E-04	4.05E-04
DNA/DTC	0.001122417987	0.006668501041	0.001049016524	4.79E-04	0.001138177392	0.001254735581	1.72E-04	0.001504571293	5.31E-04	0.002486948694	0.003543550999	5.92E-04	0.005536850737	0.0462888852	8.24E-05	0.03599886617	8.11E-04	NA	4.43E-04	NA	1.71E-04	NA	NA	7.61E-05	1.67E-04	3.21E-04	0.002222349977	1.03E-04	5.57E-04	6.70E-05	2.89E-04	5.35E-04	0.001987723433	0.00307857371	0.0232639538	0.002438935875	2.29E-04	0.001781126467	0.003527694077	0.01585902624	0.006459099448	0.002281191102	1.39E-04	0.001890837904	0.0313696392	0.02102132978	1.85E-04	9.99E-04	0.002122992782	NA	8.74E-04	0.002575418912	0.03538409804	0.00127739531	6.41E-04	2.85E-04	3.97E-04	2.88E-04	6.50E-04	9.37E-05	2.85E-04	0.001044260617	0.003366801702	0.001623944656	6.06E-04	0.001991751719	7.48E-04	0.001649751606	0.001664207243	1.66E-03	7.46E-04	0.001697658021	0.001457882853	0.001668525657	0.001458781837	0.001387765825	2.07E-03	6.36E-04	2.87E-04	6.89E-04	2.93E-04	5.03E-04	0.001298005809	6.06E-04	2.14E-03	6.76E-04	6.11E-04	6.45E-04	6.58E-04	2.87E-04	2.46E-04	0.001186342276	9.05E-04	1.85E-04	0.003673324544	0.007763430172	1.04E-02	0.02014689278	1.18E-04	1.25E-03	2.84E-04	2.86E-04	2.83E-04	2.85E-04	0.001992432104	0.02063620487	0.008749048075	0.00564284123	0.001319725627	0.01361781008	0.008835233632	0.01141293416
DNA/DTH	5.37E-04	1.48E-04	NA	3.86E-04	1.85E-04	1.65E-04	4.79E-04	2.56E-04	1.58E-04	4.48E-04	1.70E-04	1.73E-04	1.69E-04	2.58E-04	3.21E-05	0.01304055099	NA	NA	1.81E-04	NA	NA	NA	NA	NA	NA	NA	NA	8.11E-04	2.89E-04	NA	NA	1.02E-04	9.98E-04	9.61E-04	4.40E-05	NA	1.94E-04	0.001560812625	NA	1.28E-04	2.13E-04	1.48E-04	1.06E-04	NA	NA	1.26E-04	NA	NA	7.54E-05	NA	3.43E-04	0.001930310617	NA	1.10E-04	NA	NA	NA	NA	3.07E-04	NA	NA	4.15E-04	2.18E-04	0.002681412062	3.16E-04	NA	NA	9.54E-04	1.24E-03	2.16E-04	0.002793213904	0.00115533653	0.001447314441	2.95E-03	9.88E-04	7.24E-04	0.003393642558	NA	NA	NA	0.001092597839	0.001274353359	2.96E-03	0.002774429958	1.94E-04	0.003090812888	0.00279332408	2.95E-03	0.003012233497	4.99E-04	4.28E-04	0.001155280799	8.10E-04	NA	1.81E-04	NA	1.66E-04	NA	4.29E-04	4.26E-04	NA	NA	NA	NA	6.00E-04	NA	NA	5.26E-03	NA	9.06E-05	8.54E-04	0.001103421926
DNA/DTM	4.33E-05	6.27E-04	2.88E-04	0.005294370216	0.001684175209	0.01533459621	0.004901493725	0.004591112166	0.007266818431	NA	3.25E-04	1.93E-04	6.91E-05	0.003819386136	3.62E-04	0.1273652349	0.001544016484	NA	2.54E-04	NA	NA	NA	6.94E-05	2.73E-04	1.58E-04	3.63E-04	0.003204260663	2.54E-04	3.67E-04	0.001169477884	6.00E-04	0.02302397247	4.18E-04	5.26E-04	4.51E-04	0.004473923296	3.28E-04	0.001418950788	0.01367552791	0.006007821267	5.59E-04	8.97E-04	5.04E-04	8.39E-04	0.007970699058	7.35E-04	3.00E-04	0.01096821552	1.78E-04	1.90E-04	2.17E-04	0.008964188193	0.01429429836	2.39E-04	0.001545409591	0.003239568299	0.00199037567	0.0040422988	0.002772168942	0.001902878327	0.002692597413	1.75E-04	2.14E-04	2.12E-04	0.009810304441	0.002072007	8.14E-04	4.00E-04	2.41E-04	1.29E-03	3.99E-04	2.41E-04	2.40E-04	6.29E-04	2.42E-04	2.48E-04	2.16E-04	0.001619969688	1.50E-03	1.37E-03	2.12E-04	2.06E-04	7.83E-04	6.99E-05	3.66E-04	7.78E-05	7.03E-05	7.43E-05	7.58E-05	1.26E-04	1.08E-04	2.45E-04	1.29E-04	4.02E-04	1.16E-04	0.007476458248	4.05E-03	2.02E-02	4.91E-04	1.55E-04	0.001770025271	0.002904503662	0.001734338478	1.59E-03	0.002683489126	7.68E-04	0.002084772103	5.08E-03	0.01713158151	5.14E-04	0.001620158953	0.0020928442
DNA/DTT	1.15E-04	1.09E-04	NA	4.04E-04	2.42E-04	2.39E-04	NA	1.45E-04	4.57E-04	4.24E-04	1.04E-04	4.92E-04	4.80E-04	NA	NA	NA	2.63E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.62E-04	NA	1.39E-04	1.17E-04	7.22E-04	NA	9.47E-05	NA	1.00E-04	NA	NA	2.17E-04	0.001845132763	NA	0.003821109063	NA	NA	9.17E-05	NA	1.31E-04	0.004635354466	NA	NA	NA	NA	NA	NA	NA	2.81E-05	2.58E-05	2.58E-05	2.59E-05	2.82E-05	2.58E-05	2.59E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.13E-04	NA	NA	7.13E-05	NA	2.57E-05	2.61E-05	2.60E-05	9.72E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.53E-05	NA	NA	NA	NA	2.58E-05	2.60E-05	2.57E-05	2.58E-05	NA	NA	NA	NA	NA	NA	6.57E-05	8.49E-05
DNA/Helitron	0.006543135211	0.00405084457	0.003054083794	0.01005318949	0.03734480859	0.02879633341	0.004713259382	0.01156175212	0.003419125859	0.008163221012	0.002506459001	0.006351447417	0.0053156011	0.01016758784	NA	0.003645283126	0.002330797789	1.25E-04	1.85E-04	2.24E-04	1.72E-04	NA	1.89E-04	NA	1.07E-04	0.004201704011	1.42E-04	4.31E-04	0.00648427084	8.42E-04	NA	0.001636150267	0.005089234775	0.004783889492	0.004349542732	NA	0.001258673346	0.008680955431	0.002616517919	0.001258726371	0.001769787859	0.004518716932	0.006440473366	0.005552857072	0.001252462506	0.002411303462	0.003617361944	0.001570243453	0.001401691989	0.002506321329	0.004523742349	3.14E-04	0.00200382267	0.002347709694	0.003063817759	0.002259732776	0.001480004097	0.003685989197	0.002269129792	0.002150516765	0.002245974807	6.17E-04	8.55E-04	2.96E-04	NA	0.001356094374	0.001845831977	0.004871069683	0.004525933181	3.99E-03	5.87E-04	0.004677474839	0.00470712906	0.004464562611	5.26E-03	3.68E-04	0.003984897208	0.002211847504	2.37E-03	1.96E-03	1.08E-04	1.15E-04	0.003903561016	6.12E-04	3.16E-03	6.81E-04	6.16E-04	6.51E-04	6.64E-04	1.22E-04	1.04E-04	3.10E-04	7.66E-04	NA	6.37E-04	0.004023667964	1.21E-04	4.30E-03	0.001304645433	3.26E-04	0.002976987715	0.001946453586	0.001468925386	0.002407082197	0.00154326156	0.002713740168	0.001586346428	0.003248891309	0.01535628231	0.003280452322	0.03071096319	0.03967096011
LINE/unknown	0.03192551379	0.01646742547	0.02848239432	0.025492458	0.03059797929	NA	0.03010569585	0.03063711838	0.03041153772	0.02766620357	0.02689227534	0.02492322542	0.0176742199	NA	0.04039147138	0.02102196495	NA	NA	NA	NA	0.001497829273	NA	NA	NA	NA	0.002625085433	0.01553652942	0.002726427475	NA	0.005214084349	NA	9.07E-04	NA	NA	0.003059348519	0.002794272446	NA	NA	NA	0.001928165074	0.002801810656	NA	0.005285955455	NA	0.003145496152	0.002910492085	0.002263565309	0.002832721553	0.002491025361	0.01263157766	0.007697236949	0.002197115228	0.00124747892	NA	NA	NA	NA	NA	0.001007843224	1.65E-04	9.35E-04	0.004505474244	0.006751324497	0.001798080042	NA	5.15E-04	NA	0.00497009723	0.004684718262	0.004883339762	0.002852400863	0.004391312671	0.00469460741	0.004488094137	0.006377036503	0.005412297349	0.003373733708	NA	1.37E-03	9.23E-04	5.46E-04	0.001913430655	0.001244740163	0.00134391576	0.001749562307	0.001497169586	0.00135306795	0.001430138495	0.001459106242	0.002674949265	0.002292166191	0.006100736989	0.006752488113	0.002371866564	4.23E-03	0.001360166343	6.70E-04	0.001598634635	2.17E-04	0.005413305256	NA	0.001036659493	9.14E-04	NA	0.01582639826	0.01275087106	0.008632583379	0.0388526061	0.01671551567	0.01764221956	0.007459641426	0.009636009642
LTR/Copia	0.001334933438	0.001328954319	0.002008373769	0.002849417278	0.002142471289	0.002321851249	0.002052731244	0.001609251735	0.002994831877	0.002833096299	NA	1.81E-05	2.51E-04	0.004867190409	0.006528455718	1.20E-04	1.95E-04	4.62E-05	5.58E-05	1.07E-04	8.88E-05	5.75E-05	6.10E-05	5.69E-05	1.00E-04	NA	0.008157892392	NA	NA	0.002648601421	5.75E-04	NA	3.31E-05	2.26E-05	NA	4.77E-04	NA	NA	6.04E-04	0.001944482979	0.004361870645	3.45E-05	0.001844959764	3.02E-05	NA	0.01477074164	0.002167111389	0.002462369038	NA	0.004533006441	0.003726529685	0.00330326262	1.53E-03	NA	2.17E-04	1.91E-04	1.93E-04	1.79E-04	1.97E-04	2.09E-04	1.98E-04	1.11E-04	1.44E-04	4.93E-04	1.50E-05	NA	5.22E-04	NA	5.02E-04	NA	1.43E-03	5.03E-04	NA	NA	NA	3.97E-04	NA	2.01E-04	1.82E-04	1.77E-04	6.01E-05	NA	NA	NA	NA	NA	NA	NA	NA	5.70E-04	4.89E-04	5.12E-04	0.003681994716	7.43E-05	NA	1.65E-03	3.16E-04	6.05E-04	NA	NA	1.90E-04	1.77E-04	2.08E-04	2.31E-04	0.008615189552	9.36E-03	0.01234542977	8.76E-04	8.18E-03	5.15E-03	6.77E-04	8.74E-04
LTR/Gypsy	0.1983396389	0.05341698191	0.1827610092	0.006383638993	0.01792063439	0.03472122248	0.04932742064	0.01988468743	0.01521115877	0.0257877069	0.06972338221	0.01280660472	0.05258063353	0.276696839	0.007414949097	0.01404890334	4.43E-04	6.51E-04	6.32E-04	5.50E-04	9.03E-04	4.71E-05	2.57E-04	0.001196744571	5.18E-04	0.03458808192	0.08601545475	0.003155895982	0.01548034344	NA	NA	NA	4.89E-05	1.11E-04	0.08567355012	0.02948229255	0.003812623997	4.42E-04	0.0115301814	0.005975320314	0.007312631501	5.40E-05	0.02397496503	6.39E-05	0.09049488676	0.009496614837	0.09427907578	0.1375061621	0.01623845712	0.06320287014	0.1534878556	0.08398510453	8.96E-04	0.01117100408	4.33E-04	4.23E-04	3.95E-04	4.10E-04	4.25E-04	4.53E-04	4.63E-04	6.72E-04	6.32E-04	0.004327903925	2.07E-04	0.02661430876	NA	0.003703964282	0.003647520152	0.004114864767	0.004381648184	0.003805331628	0.004039261199	0.003656728847	0.003704053773	0.00396390115	4.40E-03	3.82E-04	4.66E-04	4.12E-04	4.12E-04	0.002997565644	0.002856171428	0.003826542538	0.005273443044	0.004262903433	0.003852601643	0.004072045248	0.004154525356	0.003150041273	0.002699272918	0.004292347774	0.004546395094	0.004080054071	0.08474936253	0.02162814229	0.005371030817	0.0214091843	NA	4.29E-03	4.10E-04	4.38E-04	4.24E-04	4.21E-04	0.06143036458	0.01110055797	0.008969648224	0.1839849668	0.1219387131	0.08056937356	0.03906111209	0.0504572849
LTR/unknown	0.01071563659	0.03274751137	0.06037789335	0.1004071878	0.07406530825	0.06829094926	0.0221746484	0.03843408142	0.03678241535	0.07773383037	0.03241269892	0.0513723382	0.03075075946	0.1770936768	0.2916469351	0.160895622	0.002021417809	0.01571071262	0.001752060812	0.002618139263	0.01294680629	0.002646169369	0.002717219455	0.0177589318	0.01708729159	0.02882973833	0.161541629	0.01392585674	0.04532733589	0.06065139901	0.0101788902	0.03916145845	1.81E-06	NA	0.0370312469	0.1397269498	0.07804982508	0.001868387702	0.05560208534	0.1307864844	0.2066776096	0.002048956197	0.174425491	1.75E-06	0.03416283809	0.1259924837	0.05825799801	0.03022871299	0.08081410252	0.1415996496	0.2893836391	0.08508541713	0.04103994903	0.08117114209	0.00218532223	0.0028201535	0.002302601751	7.79E-04	0.00245825924	0.002348829982	0.002651734108	0.00895541303	0.009477144632	0.01150702323	0.008590500047	0.01366834543	0.01582405277	0.0165017611	0.01340920817	0.009907865764	0.01107333257	0.01465626712	0.007462101429	0.0150414917	0.01223568864	0.009465071076	0.01261533192	2.31E-03	0.003384259859	5.98E-04	0.005232198552	0.01291889973	0.01333809789	0.01129794809	0.01150636947	0.0125863129	0.01137488815	0.01202280005	0.01226632432	0.01154596636	0.009893747923	0.009883982186	0.008812976967	0.1557359738	0.05064824844	0.08447014479	0.05127261343	0.1019173794	0.02937143404	0.01030359524	0.002975695165	0.002727834712	0.00307911903	0.002753725267	0.1518643987	0.1702858207	0.1983710121	0.3169234328	0.1529432845	0.114630943	0.1553452689	0.2006676224
