class	Histoplasma ohiense HCCI_17	Histoplasma ohiense HCCI_6	Histoplasma ohiense HCG217B	Histoplasma ohiense SECH_82-Nam1_CI_4	Histoplasma ohiense SECH_91-Nam2_G217B	Histoplasma ohiense SECH_92-Nam2_G222B	Histoplasma ohiense SECH_93.Nam2_CI_6	Histoplasma ohiense SECH_94-Nam2_CI_9	Histoplasma ohiense SECH_95.Nam2_CI_10	Histoplasma ohiense SECH_96.Nam2_CI_17	Histoplasma ohiense SECH_97-Nam2_CI_18	Histoplasma ohiense SECH_98.Nam2_CI_30	Histoplasma ohiense SECH_99.Nam2_CI_35	Histoplasma ohiensis Hc1986	Histoplasma capsulatum 19VMG15	Histoplasma capsulatum HISSP-CM7256-xx-CL-SEN-xxxx-036-BB	Histoplasma capsulatum Histo-485P20	Histoplasma capsulatum JB_01752-Hc_01752	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum SECH_101-Nam2_G184A	Histoplasma capsulatum SECH_107-mis_Hc_duboisii-B	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma capsulatum HCH143	Histoplasma capsulatum HCG186A	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGGRE2022	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HHISSP-FGFER2036	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-B05821	Histoplasma capsulatum HISSP-11571-Belem1	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum 07_12-RJ	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 104_P_19	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 122_p_10_B	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 1517_p_17	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum CB063	Histoplasma capsulatum CB066	Histoplasma capsulatum CB180	Histoplasma capsulatum CB052-2	Histoplasma capsulatum CB053-2	Histoplasma capsulatum CB055-2	Histoplasma capsulatum CB062-2	Histoplasma capsulatum CB063-2	Histoplasma capsulatum CB064-2	Histoplasma capsulatum CB065-2	Histoplasma capsulatum CB066-2	Histoplasma capsulatum CB168-2	Histoplasma capsulatum CB174-2	Histoplasma capsulatum CB180-2	Histoplasma capsulatum CB186-2	Histoplasma capsulatum CB192-2	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S11	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S14	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S16	Histoplasma mississippiense II SECH_102Nam2_505	Histoplasma mississippiense II SECH_81-Nam1_WU24	Histoplasma mississippiense II SECH_83-Nam1_CI_7	Histoplasma mississippiense II SECH_84-Nam1_CI_19	Histoplasma mississippiense II SECH_85-Nam1_CI_22	Histoplasma mississippiense II SECH_86-Nam1_CI_24	Histoplasma mississippiense II SECH_87-Nam1_CI_42	Histoplasma mississippiense II SECH_88-Nam1_CI_43	Histoplasma mississippiense II SECH_89-Nam1_UCLA-531	Histoplasma mississippiense II SECH_90-Nam1_DOWNS	Histoplasma mississippiense II HCWU24	Histoplasma mississippiense II HCCI_43	Histoplasma mississippiense II HCCI_19	Histoplasma suramericanum SECH_103-Nam2_3_11G	Histoplasma suramericanum SECH_104-Nam2_27_14	Histoplasma suramericanum SECH_105-Nam2_21_14	Histoplasma suramericanum HC27_14	Histoplasma suramericanum HC21_14	Histoplasma capsulatum CB053	Histoplasma capsulatum CB062	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 327_P_12	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_87	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum SA15
DNA/DTA	427	32	316	14	109	58	NA	539	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	13	NA	19	NA	NA	NA	NA	NA	4	NA	NA	1	30	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	10	28	19	NA	10	9	11	10	10	9	11	10	10	11	NA	NA	NA	NA	10	10	10	10	10	10	10	10	11	11	11	6	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	719	NA	NA	41	41
DNA/DTC	47	471	60	30	45	54	9	132	30	113	87	25	643	1239	2	8164	70	NA	13	NA	6	NA	NA	3	6	12	109	6	12	4	38	15	47	92	403	210	5	90	184	180	90	88	10	39	624	866	15	33	39	NA	137	56	1875	21	63	59	10	41	11	66	7	10	54	347	98	53	153	42	75	79	96	34	101	42	75	59	52	222	61	10	92	31	20	43	29	106	29	29	29	29	14	14	66	61	7	101	287	1138	394	6	56	10	10	10	10	170	673	441	351	103	682	574	574
DNA/DTH	51	21	NA	42	29	27	47	26	18	40	25	18	26	13	1	1276	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	97	14	NA	NA	11	32	28	4	NA	16	61	NA	10	17	3	12	NA	NA	4	NA	NA	11	NA	22	310	NA	8	NA	NA	NA	NA	NA	21	NA	NA	32	23	342	33	NA	NA	103	112	23	353	116	185	346	133	99	422	NA	NA	NA	132	107	483	502	22	502	502	502	502	38	38	132	124	NA	1	NA	2	NA	70	51	NA	NA	NA	NA	18	NA	NA	542	NA	16	34	34
DNA/DTM	15	45	9	134	150	730	348	164	468	NA	32	18	1	43	30	12516	262	NA	8	NA	NA	NA	1	8	1	11	194	4	8	325	25	692	9	9	18	211	7	47	1408	411	41	33	10	28	406	73	9	177	2	4	11	449	603	6	257	245	607	391	540	426	291	476	3	14	4	699	218	57	9	6	217	14	5	5	51	6	6	6	275	241	247	18	11	73	2	13	2	2	2	2	10	10	5	3	38	4	838	310	630	29	11	287	468	284	268	500	110	701	1682	326	124	137	137
DNA/DTT	11	7	NA	69	17	18	NA	5	61	20	5	58	144	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	6	11	40	NA	1	NA	14	NA	NA	10	127	NA	305	NA	NA	1	NA	7	101	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	NA	NA	7	NA	1	1	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	1	1	1	NA	NA	NA	NA	NA	NA	17	17
DNA/Helitron	258	284	134	748	2109	1404	281	377	213	366	78	228	188	158	NA	129	388	3	1	35	2	NA	3	NA	3	87	6	18	162	50	NA	196	111	99	249	NA	195	280	141	185	148	107	220	114	183	246	201	207	91	253	432	43	89	213	493	482	322	301	504	252	327	367	59	58	14	NA	35	211	500	489	441	46	481	489	484	525	22	439	368	355	342	1	1	490	20	320	20	20	20	20	1	1	17	140	NA	4	234	1	237	229	21	485	360	114	402	50	63	142	154	2942	240	3592	3592
LINE/unknown	922	638	910	663	456	NA	715	512	667	375	566	341	410	NA	1015	2948	NA	NA	NA	NA	58	NA	NA	NA	NA	44	489	239	NA	512	NA	44	NA	NA	127	48	NA	NA	NA	51	53	NA	133	NA	54	198	69	135	51	542	444	65	71	NA	NA	NA	NA	NA	NA	28	24	31	253	385	104	NA	20	NA	214	262	270	114	203	296	233	334	320	146	NA	57	31	33	129	73	87	77	87	87	87	87	192	192	317	405	36	122	25	34	45	18	374	NA	30	29	NA	1306	498	682	2549	645	680	433	433
LTR/Copia	41	94	81	223	53	83	39	30	195	49	NA	4	3	71	127	57	32	14	20	29	23	22	23	21	24	NA	281	NA	NA	227	48	NA	8	5	NA	20	NA	NA	34	33	155	8	66	9	NA	397	103	141	NA	123	65	89	15	NA	36	33	30	38	26	34	34	36	23	29	15	5	NA	49	NA	14	NA	135	14	NA	NA	NA	15	NA	30	32	32	15	NA	NA	NA	NA	NA	NA	NA	NA	11	11	13	206	3	NA	63	15	59	NA	NA	34	22	38	38	208	167	542	424	111	199	180	180
LTR/Gypsy	5487	2418	4390	186	356	953	858	158	605	488	1409	137	1555	2923	75	4901	49	91	72	63	101	20	43	171	102	382	905	352	211	NA	NA	NA	13	18	757	164	38	10	290	112	100	14	357	20	703	203	704	1393	224	596	2771	582	122	55	42	42	44	45	46	46	48	46	108	101	478	38	368	NA	393	384	455	475	397	444	378	394	442	460	46	53	46	69	344	343	462	469	462	462	462	462	326	326	456	464	75	632	177	148	267	NA	502	46	43	45	51	1024	124	129	7644	1468	2840	687	687
LTR/unknown	1126	1822	2310	4138	2950	1746	653	858	2170	1871	1429	2340	1386	2080	5918	16590	172	1001	117	156	587	180	129	1090	910	410	2728	728	2460	4632	321	1061	1	NA	648	1633	1095	24	2164	1234	1363	43	1900	1	531	2412	990	263	1496	2554	6040	908	1387	1358	210	241	196	166	86	171	164	217	671	708	587	561	785	512	1133	758	424	516	822	428	1014	721	556	565	188	218	62	326	682	655	624	407	624	624	624	624	682	682	586	538	1758	702	1046	1911	2695	1178	692	262	169	224	189	5946	6119	8732	18497	3948	5760	5426	5426
