class	Histoplasma ohiense HCCI_17	Histoplasma ohiense HCCI_6	Histoplasma ohiense HCG217B	Histoplasma ohiense SECH_82-Nam1_CI_4	Histoplasma ohiense SECH_91-Nam2_G217B	Histoplasma ohiense SECH_92-Nam2_G222B	Histoplasma ohiense SECH_93.Nam2_CI_6	Histoplasma ohiense SECH_94-Nam2_CI_9	Histoplasma ohiense SECH_95.Nam2_CI_10	Histoplasma ohiense SECH_96.Nam2_CI_17	Histoplasma ohiense SECH_97-Nam2_CI_18	Histoplasma ohiense SECH_98.Nam2_CI_30	Histoplasma ohiense SECH_99.Nam2_CI_35	Histoplasma ohiensis Hc1986	Histoplasma capsulatum 19VMG15	Histoplasma capsulatum Histo-485P20	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum SECH_107-mis_Hc_duboisii-B	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma capsulatum HCH143	Histoplasma capsulatum HCG186A	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGGRE2022	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HHISSP-FGFER2036	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-11571-Belem1	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum 07_12-RJ	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 122_p_10_B	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum CB063	Histoplasma capsulatum CB066	Histoplasma capsulatum CB180	Histoplasma capsulatum CB052-2	Histoplasma capsulatum CB053-2	Histoplasma capsulatum CB055-2	Histoplasma capsulatum CB063-2	Histoplasma capsulatum CB064-2	Histoplasma capsulatum CB065-2	Histoplasma capsulatum CB066-2	Histoplasma capsulatum CB168-2	Histoplasma capsulatum CB174-2	Histoplasma capsulatum CB180-2	Histoplasma capsulatum CB186-2	Histoplasma capsulatum CB192-2	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S14	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S16	Histoplasma mississippiense II SECH_102Nam2_505	Histoplasma mississippiense II SECH_81-Nam1_WU24	Histoplasma mississippiense II SECH_83-Nam1_CI_7	Histoplasma mississippiense II SECH_84-Nam1_CI_19	Histoplasma mississippiense II SECH_85-Nam1_CI_22	Histoplasma mississippiense II SECH_86-Nam1_CI_24	Histoplasma mississippiense II SECH_87-Nam1_CI_42	Histoplasma mississippiense II SECH_88-Nam1_CI_43	Histoplasma mississippiense II SECH_89-Nam1_UCLA-531	Histoplasma mississippiense II SECH_90-Nam1_DOWNS	Histoplasma mississippiense II HCWU24	Histoplasma mississippiense II HCCI_43	Histoplasma mississippiense II HCCI_19	Histoplasma suramericanum SECH_103-Nam2_3_11G	Histoplasma suramericanum SECH_104-Nam2_27_14	Histoplasma suramericanum SECH_105-Nam2_21_14	Histoplasma suramericanum HC27_14	Histoplasma capsulatum CB053	Histoplasma capsulatum CB062	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_87	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum SA15
DNA/DTA	0.003957574658513076	4.6168709033532094e-4	0.00519191292782008	1.5284801347290473e-4	4.2026404494702326e-4	3.838768873286248e-4	NA	0.00923214276712021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.303912543531695e-4	NA	NA	1.6720117019934655e-4	NA	1.1359068274060333e-4	NA	NA	NA	NA	NA	1.5364998782066165e-4	NA	NA	8.450878284280203e-5	7.654581137346327e-4	NA	NA	NA	NA	NA	1.5513476564570368e-4	NA	NA	NA	NA	NA	0.00214863367493756	NA	NA	NA	NA	NA	NA	NA	NA	1.419061206527599e-4	1.3842142946561756e-4	3.4626253171882783e-4	7.288092864747356e-4	NA	1.2699316718132228e-4	1.3451629918841484e-4	1.3636948974546598e-4	1.394311453762142e-4	1.2926249711287015e-4	1.4933738384645756e-4	1.415682179141052e-4	1.2462713294625097e-4	1.496464580712479e-4	NA	NA	NA	1.5643834714578392e-4	1.5486996199323537e-4	1.50614174064292e-4	1.7251518191926834e-4	1.6778950535653822e-4	1.5163987037694824e-4	1.6027725437480677e-4	1.6352370289376375e-4	1.6221639983690227e-4	1.3900336440152337e-4	1.3814182997160966e-4	1.3145976043502544e-4	NA	NA	NA	3.5519172734060754e-4	NA	NA	NA	NA	NA	NA	NA	5.786394462489268e-5	0.00459328989933505	NA	NA	3.1388801545793155e-4	4.054655942265431e-4
DNA/DTC	0.0011224179865173987	0.00666850104056247	0.00104901652449751	4.794634931101329e-4	0.00113817739153835	0.00125473558092384	1.7191026816859996e-4	0.00150457129306441	5.311514650333387e-4	0.00248694869438283	0.00354355099903792	5.92086177145556e-4	0.00553685073733038	0.04628888519770546	8.243861588012609e-5	8.114861384704483e-4	4.428416949204627e-4	NA	1.7114195254609808e-4	NA	NA	7.610163229564285e-5	1.6717766011661812e-4	0.00222234997696046	1.0275165593065016e-4	5.565759976205506e-4	6.696995390435691e-5	2.885438707651068e-4	5.350579740139752e-4	0.0019877234332700156	0.0030785737103892438	0.02326395379741596	0.00243893587531617	2.2865109047237657e-4	0.00178112646691849	0.00352769407678754	0.01585902624269841	0.00645909944758687	0.0022811911015570003	1.386643205140685e-4	0.00189083790417317	0.03136963919708279	0.02102132977840278	1.8466464246571232e-4	9.99474139806917e-4	0.00212299278157078	NA	0.00257541891241269	0.03538409803802667	0.0012773953104723568	6.405454850051568e-4	2.846703611315329e-4	3.9660583488099514e-4	2.8794217187663165e-4	6.498103781378219e-4	2.8520203750186004e-4	0.00104426061657453	0.00336680170185688	0.00162394465598795	6.056089623584357e-4	0.00199175171908249	7.481787935132622e-4	0.00166420724279826	0.00166462174187781	7.45721467130437e-4	0.00169765802129531	0.00145788285329836	0.00166852565719512	0.0014587818365949	0.00138776582529827	0.00207006880088852	2.8729352763479197e-4	6.89002595945491e-4	2.930173504319056e-4	5.028207495560003e-4	0.00129800580870983	6.064152665392083e-4	0.0021355504450507176	6.755680084255111e-4	6.105450100158229e-4	6.453215611060744e-4	6.583926811129387e-4	2.8714215112083134e-4	2.460523418557975e-4	0.00118634227586372	9.05495119276038e-4	1.847808621004787e-4	0.00367332454395634	0.00776343017194784	0.01040404927654412	1.1800756433362174e-4	0.00124903209902144	2.842911829210098e-4	2.8323259225445524e-4	2.847462703592009e-4	0.00199243210410568	0.02063620486675069	0.00874904807548228	0.00564284123023263	0.00131972562674421	0.01361781008410462	0.00883523363154974	0.01141293416163185
DNA/DTH	5.374197307202509e-4	1.4803657484215612e-4	NA	3.8616791539499e-4	1.8459287394369296e-4	1.6467771902364364e-4	4.789382009863209e-4	2.560667455938085e-4	1.57738265335362e-4	4.477944299547942e-4	1.7006497005568478e-4	1.7271241174045387e-4	1.6913921387405208e-4	2.5774905144698446e-4	3.205533938813184e-5	NA	1.809270238421169e-4	NA	NA	NA	NA	NA	NA	NA	8.111115473647542e-4	2.8857152349627183e-4	NA	NA	1.0160946125967444e-4	9.982531249397312e-4	9.610569420775031e-4	4.401965192177767e-5	NA	1.9398450185019008e-4	0.00156081262482252	NA	1.277561639202388e-4	2.126220449789686e-4	1.4826322920530153e-4	1.0598352250744884e-4	NA	NA	1.2557754452393788e-4	NA	NA	7.535978433567678e-5	NA	0.00193031061745597	NA	1.0983233693638296e-4	NA	NA	NA	NA	3.0667350563644936e-4	NA	4.1514746760044766e-4	2.1849146650359597e-4	0.00268141206231215	3.159470367859547e-4	NA	NA	0.00123677874276066	2.157778329920081e-4	0.0027932139038582	0.00115533652974809	0.00144731444082529	0.00294646310983792	9.876218343074393e-4	7.237728718871698e-4	0.00339364255843812	NA	NA	0.00109259783933195	0.00127435335942729	0.00295645671182827	0.00277442995833925	1.9403097470559332e-4	0.0030908128882836	0.0027933240803279	0.002952431395919	0.00301223349678472	4.993288514713052e-4	4.278752972390305e-4	0.00115528079930206	8.103550064680806e-4	NA	1.8105750457471812e-4	NA	1.6609477123170836e-4	4.285320766458943e-4	4.26164449855043e-4	NA	NA	NA	6.001055433634451e-4	NA	NA	0.00526036573669255	NA	9.057967557090814e-5	8.54205445587756e-4	0.0011034219260697
DNA/DTM	4.331468939324412e-5	6.269494836701526e-4	2.884625689039831e-4	0.00529437021582884	0.00168417520908983	0.01533459621114389	0.00490149372472543	0.00459111216593322	0.00726681843094799	NA	3.253386048048202e-4	1.9291028328050696e-4	6.907503559611637e-5	0.00381938613591505	3.622179148684388e-4	0.00154401648403304	2.543871150203038e-4	NA	NA	NA	6.939656885135007e-5	2.7335841312403863e-4	1.5777208685699228e-4	0.00320426066323464	2.5408061911631904e-4	3.6726873878559034e-4	0.00116947788399047	6.000419318095666e-4	0.02302397247432301	4.1836086746340395e-4	5.256820373777004e-4	4.511236284143845e-4	0.00447392329591257	3.2799291993666855e-4	0.00141895078836162	0.01367552791286921	0.0060078212665194	5.585258271414211e-4	8.970067290879777e-4	5.039125983690929e-4	8.390867138964138e-4	0.00797069905805085	7.350936170514406e-4	2.998994584728481e-4	0.0109682155208382	1.7755687962354866e-4	1.903431778232634e-4	0.00896418819329654	0.01429429836201648	2.3891722712666196e-4	0.00154540959102512	0.00323956829869161	0.00199037567042023	0.004042298799662753	0.00277216894166189	0.00269259741254674	1.7457465486427903e-4	2.13614731476323e-4	2.1220298489541816e-4	0.00981030444116743	0.00207200700022249	8.140564352916129e-4	2.4149291478283872e-4	0.00128883516462794	3.9898168324426094e-4	2.4054666788727132e-4	2.402133884555685e-4	6.292751426098261e-4	2.418194892666123e-4	2.480494542575368e-4	2.1604403907290909e-4	0.0014994829916795	0.00136893425970728	2.124566391683201e-4	2.057759922000279e-4	7.825743670660181e-4	6.985934031067161e-5	3.6620052139937854e-4	7.782577056962836e-5	7.03350888131377e-5	7.434136479512314e-5	7.584716432093722e-5	1.2579877650088832e-4	1.077970734697616e-4	2.44760170572286e-4	1.2914456377353904e-4	4.019395710910631e-4	1.1551306731445218e-4	0.00747645824806296	0.0040502015871012	4.907419747169075e-4	1.5539161358609906e-4	0.0017700252711036772	0.00173433847840059	0.001590422336312	0.00268348912578658	7.678729780134357e-4	0.00208477210336986	0.00508233983187075	0.01713158150778324	5.141754549749573e-4	0.0016201589530661	0.00209284420014578
DNA/DTT	1.1544702685531327e-4	1.0926090586782744e-4	NA	4.0381667966252584e-4	2.416744639604381e-4	2.3923984953834403e-4	NA	1.4530712836243907e-4	4.5671186118844494e-4	4.240819866609396e-4	1.042470665385034e-4	4.924983044092943e-4	4.7994308000784967e-4	NA	NA	2.6271133979259117e-5	NA	NA	NA	NA	NA	NA	NA	1.6180972469455793e-4	NA	1.3908749652224756e-4	1.1710273173713e-4	7.223026307387968e-4	NA	9.470954818022303e-5	NA	1.0003837628413416e-4	NA	NA	2.1703115753815113e-4	0.00184513276348559	NA	0.00382110906273398	NA	NA	9.16929275737201e-5	NA	1.3110529764902057e-4	0.00463535446645812	NA	NA	NA	NA	NA	NA	2.805616647643203e-5	2.5815523041910943e-5	2.581768599648711e-5	2.5861180825721572e-5	2.8168215642021934e-5	2.5863738470923164e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.126227095581908e-4	NA	NA	7.126106464455807e-5	NA	2.6053406659434316e-5	2.604804650416333e-5	9.715207901818605e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5349364875406623e-5	NA	NA	NA	2.578113701102301e-5	2.5685138004889155e-5	2.582240692124481e-5	NA	NA	NA	NA	NA	NA	6.57375720015173e-5	8.491666575966385e-5
DNA/Helitron	0.006543135211316726	0.00405084456957654	0.00305408379419885	0.01005318948953588	0.03734480858869324	0.02879633340554501	0.00471325938189187	0.01156175211928469	0.0034191258587504	0.0081632210117891	0.00250645900103709	0.00635144741657269	0.0053156011003207	0.01016758784002492	NA	0.00233079778919508	1.8464652212962e-4	2.2397050816258171e-4	1.7241577618588952e-4	NA	1.8904169014863736e-4	NA	1.0748703760124943e-4	1.415835091077382e-4	4.3088865145552314e-4	0.00648427084046682	8.423064176669837e-4	NA	0.0016361502669099	0.005089234774919499	0.00478388949212224	0.00434954273160163	NA	0.00125867334551541	0.00868095543074244	0.00261651791855305	0.00125872637084117	0.00176978785948581	0.004518716931717545	0.00644047336630588	0.0055528570718521	0.0012524625063649	0.00241130346174563	0.00361736194363402	0.00157024345322771	0.00140169198864358	0.00250632132859129	3.137108031297416e-4	0.00200382267030925	0.002347709694228862	0.00306381775867442	0.00225973277575534	0.00148000409724577	0.003685989197175034	0.00226912979239566	0.00224597480675616	6.166410561479069e-4	8.551457899936404e-4	2.9591076900301435e-4	NA	0.00135609437378343	0.00184583197695699	0.00452593318079496	0.003991243868936	5.871825269697522e-4	0.00467747483908748	0.00470712906040674	0.00446456261110304	0.00525536180012692	3.683180039361196e-4	0.00398489720831005	0.00237393134256593	0.00195706244249708	1.0829770243320214e-4	1.1474235482035454e-4	0.00390356101597177	6.116179589098897e-4	0.0031618278383165077	6.813639913389536e-4	6.157831331978052e-4	6.508580469893593e-4	6.640413096484428e-4	1.217246588217452e-4	1.043059587308202e-4	3.097973583386986e-4	7.664024448476746e-4	NA	6.365373233929672e-4	0.00402366796396468	1.2128800176716247e-4	0.00130464543320475	3.2553120300383997e-4	0.002976987715183413	0.0014689253856834	0.00240708219747983	0.00154326156026179	0.00271374016834662	0.00158634642755595	0.00324889130897831	0.01535628230937209	0.0032804523217215	0.03071096319412707	0.03967096011171259
LINE/unknown	0.03192551378999445	0.01646742546748674	0.02848239432139394	0.02549245800298436	0.03059797929159063	NA	0.03010569584603471	0.0306371183797405	0.03041153772308263	0.02766620356599617	0.02689227534190985	0.0249232254170675	0.01767421989564465	NA	0.04039147138014709	NA	NA	NA	0.00149782927338889	NA	NA	NA	NA	0.01553652941905241	0.00272642747529156	NA	0.00521408434943165	NA	9.0681817550915e-4	NA	NA	0.0030593485188338	0.00279427244621375	NA	NA	NA	0.00192816507355059	0.00280181065560293	NA	0.00528595545541782	NA	0.00314549615182835	0.00291049208513546	0.00226356530911951	0.00283272155326071	0.0024910253609897	0.01263157765748919	0.00219711522813868	0.00124747891979243	NA	NA	NA	NA	NA	0.00100784322432457	9.346692479939308e-4	0.00450547424405432	0.00675132449719316	0.00179808004224275	NA	5.154858442453877e-4	NA	0.00468471826204668	0.00488333976173643	0.00285240086252847	0.00439131267123494	0.00469460740998485	0.00448809413677969	0.00637703650250858	0.00541229734935416	0.00337373370761972	0.00137472318255424	9.229408780994132e-4	5.456635828263587e-4	0.00191343065533246	0.00124474016296416	0.00134391576041797	0.0017495623069924296	0.00149716958634405	0.00135306794976897	0.00143013849479317	0.00145910624206608	0.0026749492647631	0.00229216619145351	0.00610073698861756	0.00675248811291214	0.00237186656372263	0.00422932684107279	0.00136016634317406	6.696237482650798e-4	2.1670343637877345e-4	0.00541330525596344	NA	9.13597388385285e-4	NA	0.01582639825808094	0.01275087105967925	0.00863258337878821	0.03885260610098751	0.01671551567132861	0.01764221955967238	0.00745964142575519	0.00963600964184037
LTR/Copia	0.0013349334381433154	0.0013289543193441	0.0020083737693142	0.0028494172782827	0.00214247128874836	0.00232185124881953	0.00205273124394481	0.00160925173451735	0.00299483187664554	0.00283309629901282	NA	1.8095644094047556e-5	2.5122495822971094e-4	0.00486719040908858	0.00652845571770049	1.946484560956489e-4	5.583675405406494e-5	1.0691401793639876e-4	8.8793000773698e-5	5.7465095542947834e-5	6.096184763727469e-5	5.6907484460544464e-5	1.0035051314355669e-4	0.00815789239164034	NA	NA	0.00264860142117472	5.753096000297004e-4	NA	3.313928741296523e-5	2.2614898166384058e-5	NA	4.77105984022223e-4	NA	NA	6.044537109035271e-4	0.00194448297907594	0.00436187064485955	3.453483003186666e-5	0.00184495976356729	3.0199056930350455e-5	NA	0.01477074164172837	0.00216711138864156	0.00246236903784031	NA	0.00453300644139081	0.00330326261970309	2.95166220005938e-5	NA	2.1713644631383985e-4	1.9141265865221772e-4	1.9321284520135276e-4	1.7896077300401093e-4	1.968951213674165e-4	1.97762975869132e-4	1.1093233674844642e-4	1.435889376692133e-4	4.92798026488363e-4	1.4953307712553969e-5	NA	5.218213712856761e-4	5.02458813156548e-4	NA	0.00143078485465256	5.02888184149983e-4	NA	NA	NA	3.968436911757363e-4	NA	1.8216203030173587e-4	1.7739496169366515e-4	6.008471254674808e-5	NA	NA	NA	NA	NA	NA	NA	NA	5.703764750800356e-4	4.887560634517941e-4	5.116969559895128e-4	0.00368199471556362	7.428644926093e-5	NA	0.00164902788216217	3.155057315291526e-4	NA	NA	1.8958567826398627e-4	2.0840461568194616e-4	2.307921355725349e-4	0.0086151895516816	0.00935792414435401	0.01234542977130896	8.756469994579235e-4	0.00817766309914207	0.00514624683187675	6.76798806207881e-4	8.74256475611354e-4
LTR/Gypsy	0.19833963886017497	0.05341698190793376	0.1827610092487813	0.0063836389931992	0.01792063438775416	0.03472122248425432	0.0493274206350767	0.01988468742607994	0.01521115877493187	0.02578770689782617	0.06972338221362454	0.01280660472048165	0.05258063352959678	0.2766968390489889	0.00741494909656626	4.4312069888051154e-4	6.317390722358007e-4	5.501655040630599e-4	9.03066029809796e-4	4.705894142048243e-5	2.565194598612404e-4	0.0011967445712833106	5.18441053680388e-4	0.08601545475085409	0.00315589598190902	0.01548034343808289	NA	NA	NA	4.893930285985712e-5	1.1114333098849872e-4	0.08567355012303025	0.02948229254602919	0.00381262399694637	4.4150029654276387e-4	0.01153018140120026	0.00597532031419205	0.00731263150094647	5.402572040601606e-5	0.02397496502521941	6.386070529393412e-5	0.090494886755179485	0.00949661483650239	0.0942790757793838	0.13750616207790167	0.01623845712068642	0.06320287013821375	0.08398510452605099	8.96335071936922e-4	0.011171004077482017	4.331829914237081e-4	4.2280789567422433e-4	3.948216858487176e-4	4.1020458366652674e-4	4.247470411283834e-4	4.626735437576255e-4	6.720032904152451e-4	6.316745588495191e-4	0.00432790392502184	2.06659385496156e-4	0.02661430876396972	NA	0.00364752015218241	0.00411486476694405	0.00438164818368566	0.00380533162765359	0.00403926119890721	0.00365672884679157	0.00370405377271261	0.00396390115030808	0.00439884842759514	4.6581937787430327e-4	4.118979711430705e-4	4.12061321695221e-4	0.00299756564375633	0.00285617142832314	0.00382654253796683	0.005273443044002518	0.00426290343296068	0.00385260164293354	0.00407204524769315	0.00415452535577252	0.00315004127330644	0.00269927291835782	0.00429234777424262	0.00454639509409827	0.00408005407055894	0.08474936252857834	0.02162814228730421	0.00537103081710492	NA	0.00428687221250243	4.104370985670858e-4	4.240484030509072e-4	4.208212575092294e-4	0.06143036458356643	0.01110055797279547	0.00896964822430265	0.18398496684617777	0.12193871306818306	0.08056937356417634	0.03906111208712879	0.05045728490286989
LTR/unknown	0.010715636594049232	0.03274751137018273	0.06037789334584371	0.10040718775555288	0.07406530824779675	0.06829094926060514	0.02217464839909673	0.03843408142121838	0.03678241535072421	0.07773383037292105	0.03241269892045899	0.051372338198767	0.03075075946210553	0.17709367675941678	0.29164693507176165	0.00202141780895966	0.00175206081238004	0.00261813926276077	0.01294680628622974	0.00264616936940825	0.00271721945537604	0.017758931796316598	0.01708729158832501	0.16154162904648814	0.01392585674414253	0.04532733589133184	0.06065139900922343	0.01017889019507451	0.03916145844739245	1.810890022566406e-6	NA	0.03703124689865473	0.1397269498291321	0.07804982508006086	0.00186838770199989	0.05560208533713998	0.13078648438682122	0.2066776096411947	0.0020489561965892833	0.1744254909875391	1.7532108522699828e-6	0.03416283809286097	0.12599248368646246	0.05825799800582582	0.0302287129907854	0.08081410252244962	0.1415996495806604	0.08508541713371529	0.04103994903106254	0.08117114209277342	0.0021853222301699	0.00282015350021937	0.00230260175106881	7.788140160591625e-4	0.0024582592402778	0.00265173410759132	0.00895541303032984	0.00947714463180341	0.01150702323317393	0.00859050004678749	0.01366834543124613	0.01582405276987807	0.01340920817369761	0.00990786576376849	0.01107333257336822	0.01465626712436779	0.00746210142871682	0.01504149169923675	0.01223568864164281	0.00946507107555908	0.01261533192067354	0.0033842598590786	5.979403195488224e-4	0.00523219855154818	0.01291889972740853	0.01333809788650607	0.01129794808828954	0.011506369473946211	0.01258631289554958	0.01137488814898922	0.01202280005125662	0.01226632432157413	0.01154596635743282	0.00989374792292032	0.00988398218649196	0.00881297696668721	0.15573597384546922	0.05064824843970702	0.08447014479443127	0.05127261342936931	0.02937143403977128	0.01030359523725745	0.002975695164953863	0.00307911903039369	0.00275372526708521	0.15186439867481172	0.170285820687219	0.1983710120696182	0.3169234328144848	0.1529432844556537	0.1146309430213322	0.15534526888363048	0.20066762238848565
