class	n	total	percentage
DNA/DTA	20	13622	4.035607795211065e-4
DNA/DTC	2	3669	1.0869655704470266e-4
DNA/DTM	160	79292	0.0023490780597406826
DNA/DTT	2	2809	8.32184869824393e-5
DNA/Helitron	10	7694	2.2793985006866786e-4
LINE/unknown	52	35654	0.0010562733837208582
LTR/Gypsy	418	998680	0.02958655698811765
LTR/unknown	406	875825	0.025946896177071875
Low_complexity	2698	138614	0.004106531632105319
MITE/DTM	26	3686	1.0920019331337532e-4
Simple_repeat	17825	696910	0.020646420705920886
Unknown	2229	1940493	0.05748839140619957
