class	n	total	percentage
DNA/Helitron	321	133994	0.0043235698023201185
DNAauto/CACTA	11	850	2.7426857411317677e-5
DNAauto/CACTG	1	59	1.9037465732561681e-6
DNAauto/MLE	1	41	1.322942533957676e-6
DNAauto/MULE	8	459	1.4810503002111546e-5
DNAauto/PILE	2	404	1.3035823993143931e-5
DNAauto/POLE	1	56	1.8069459000397528e-6
DNAauto/hAT	2	156	5.0336350072535974e-6
DNAnona/CACTA	3	108	3.4848242357909517e-6
DNAnona/MULE	8	487	1.571397595213142e-5
DNAnona/MULEtir	1	61	1.968280355400445e-6
DNAnona/Tourist	1	91	2.9362870875645983e-6
DNAnona/hAT	4	237	7.64725318409681e-6
LINE/unknown	69	39762	0.0012829961228103689
LTR/Copia	69	14232	4.5922239373867433e-4
LTR/Gypsy	848	1345918	0.043428589498030426
LTR/unknown	424	883519	0.028508411333164684
Low_complexity	2091	106775	0.0034452972942275823
MITE/Tourist	1	80	2.5813512857710754e-6
Simple_repeat	10854	425097	0.013716558594092836
TIR/Tc1_Mariner	18	9624	3.1053655967826037e-4
Unknown	1775	1023359	0.03302061338069252
