class	Histoplasma ohiense HCCI_17	Histoplasma ohiense HCCI_6	Histoplasma ohiense HCG217B	Histoplasma ohiense SECH_82-Nam1_CI_4	Histoplasma ohiense SECH_91-Nam2_G217B	Histoplasma ohiense SECH_92-Nam2_G222B	Histoplasma ohiense SECH_93.Nam2_CI_6	Histoplasma ohiense SECH_94-Nam2_CI_9	Histoplasma ohiense SECH_95.Nam2_CI_10	Histoplasma ohiense SECH_96.Nam2_CI_17	Histoplasma ohiense SECH_97-Nam2_CI_18	Histoplasma ohiense SECH_98.Nam2_CI_30	Histoplasma ohiense SECH_99.Nam2_CI_35	Histoplasma ohiensis Hc1986	Histoplasma capsulatum HISSP-CM7256-xx-CL-SEN-xxxx-036-BB	Histoplasma capsulatum Histo-485P20	Histoplasma capsulatum JB_01752-Hc_01752	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum SECH_101-Nam2_G184A	Histoplasma capsulatum SECH_107-mis_Hc_duboisii-B	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma capsulatum HCH143	Histoplasma capsulatum HCG186A	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGGRE2022	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HHISSP-FGFER2036	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-B05821	Histoplasma capsulatum HISSP-11571-Belem1	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum 07_12-RJ	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 122_p_10_B	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 1517_p_17	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum CB063	Histoplasma capsulatum CB066	Histoplasma capsulatum CB180	Histoplasma capsulatum CB053-2	Histoplasma capsulatum CB055-2	Histoplasma capsulatum CB062-2	Histoplasma capsulatum CB063-2	Histoplasma capsulatum CB064-2	Histoplasma capsulatum CB065-2	Histoplasma capsulatum CB066-2	Histoplasma capsulatum CB168-2	Histoplasma capsulatum CB174-2	Histoplasma capsulatum CB180-2	Histoplasma capsulatum CB186-2	Histoplasma capsulatum CB192-2	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S11	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S14	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S16	Histoplasma mississippiense II SECH_102Nam2_505	Histoplasma mississippiense II SECH_81-Nam1_WU2	Histoplasma mississippiense II SECH_83-Nam1_CI_7	Histoplasma mississippiense II SECH_84-Nam1_CI_19	Histoplasma mississippiense II SECH_85-Nam1_CI_22	Histoplasma mississippiense II SECH_86-Nam1_CI_24	Histoplasma mississippiense II SECH_87-Nam1_CI_42	Histoplasma mississippiense II SECH_88-Nam1_CI_43	Histoplasma mississippiense II SECH_89-Nam1_UCLA-531	Histoplasma mississippiense II SECH_90-Nam1_DOWNS	Histoplasma mississippiense II HCWU24	Histoplasma mississippiense II HCCI_43	Histoplasma mississippiense II HCCI_19	Histoplasma suramericanum SECH_103-Nam2_3_11G	Histoplasma suramericanum SECH_104-Nam2_27_14	Histoplasma suramericanum SECH_105-Nam2_21_14	Histoplasma suramericanum HC27_14	Histoplasma suramericanum HC21_14	Histoplasma capsulatum CB053	Histoplasma capsulatum CB062	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 327_P_12	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_87	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum SA15	Aspergillus fumigatus Af293
DNA/DTA	0.003957574659	4.62e-4	0.005191912928	1.53e-4	4.2e-4	3.84e-4	NA	0.009232142767	NA	NA	NA	NA	NA	NA	1.44e-5	NA	NA	NA	NA	NA	NA	NA	5.3e-4	NA	NA	NA	1.67e-4	NA	1.14e-4	NA	NA	NA	NA	NA	1.54e-4	NA	NA	8.45e-5	7.65e-4	NA	NA	NA	NA	NA	1.55e-4	NA	NA	NA	NA	NA	NA	0.002148633675	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.42e-4	1.38e-4	7.29e-4	NA	1.39e-4	1.27e-4	1.35e-4	1.36e-4	1.39e-4	1.29e-4	1.49e-4	1.42e-4	1.25e-4	1.5e-4	NA	NA	NA	NA	1.56e-4	1.55e-4	1.51e-4	1.73e-4	1.68e-4	1.52e-4	1.6e-4	1.64e-4	1.62e-4	1.39e-4	1.38e-4	1.31e-4	NA	NA	NA	3.55e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.79e-5	0.004593289899	NA	NA	3.14e-4	4.05e-4	NA
DNA/DTC	0.001122417987	0.006668501041	0.001049016524	4.79e-4	0.001138177392	0.001254735581	1.72e-4	0.001504571293	5.31e-4	0.002486948694	0.003543550999	5.92e-4	0.005536850737	0.0462888852	0.03599886617	8.11e-4	NA	4.43e-4	NA	1.71e-4	NA	NA	7.61e-5	1.67e-4	3.21e-4	0.002222349977	1.03e-4	5.57e-4	6.7e-5	2.89e-4	5.35e-4	0.001987723433	0.00307857371	0.0232639538	0.002438935875	2.29e-4	0.001781126467	0.003527694077	0.01585902624	0.006459099448	0.002281191102	1.39e-4	0.001890837904	0.0313696392	0.02102132978	1.85e-4	9.99e-4	0.002122992782	NA	8.74e-4	0.002575418912	0.03538409804	0.00127739531	6.41e-4	2.85e-4	3.97e-4	2.88e-4	6.5e-4	9.37e-5	2.85e-4	0.001044260617	0.003366801702	0.001623944656	0.001991751719	7.48e-4	0.001649751606	0.001664207243	0.00166	7.46e-4	0.001697658021	0.001457882853	0.001668525657	0.001458781837	0.001387765825	0.00207	6.36e-4	2.87e-4	6.89e-4	2.93e-4	5.03e-4	0.001298005809	6.06e-4	0.00214	6.76e-4	6.11e-4	6.45e-4	6.58e-4	2.87e-4	2.46e-4	0.001186342276	9.05e-4	1.85e-4	0.003673324544	0.007763430172	0.0104	0.02014689278	1.18e-4	0.00125	2.84e-4	2.86e-4	2.83e-4	2.85e-4	0.001992432104	0.02063620487	0.008749048075	0.00564284123	0.001319725627	0.01361781008	0.008835233632	0.01141293416	8.872907015895683e-4
DNA/DTH	5.37e-4	1.48e-4	NA	3.86e-4	1.85e-4	1.65e-4	4.79e-4	2.56e-4	1.58e-4	4.48e-4	1.7e-4	1.73e-4	1.69e-4	2.58e-4	0.01304055099	NA	NA	1.81e-4	NA	NA	NA	NA	NA	NA	NA	NA	8.11e-4	2.89e-4	NA	NA	1.02e-4	9.98e-4	9.61e-4	4.4e-5	NA	1.94e-4	0.001560812625	NA	1.28e-4	2.13e-4	1.48e-4	1.06e-4	NA	NA	1.26e-4	NA	NA	7.54e-5	NA	3.43e-4	0.001930310617	NA	1.1e-4	NA	NA	NA	NA	3.07e-4	NA	NA	4.15e-4	2.18e-4	0.002681412062	NA	NA	9.54e-4	0.00124	2.16e-4	0.002793213904	0.00115533653	0.001447314441	0.00295	9.88e-4	7.24e-4	0.003393642558	NA	NA	NA	0.001092597839	0.001274353359	0.00296	0.002774429958	1.94e-4	0.003090812888	0.00279332408	0.00295	0.003012233497	4.99e-4	4.28e-4	0.001155280799	8.1e-4	NA	1.81e-4	NA	1.66e-4	NA	4.29e-4	4.26e-4	NA	NA	NA	NA	6e-4	NA	NA	0.00526	NA	9.06e-5	8.54e-4	0.001103421926	NA
DNA/DTM	4.33e-5	6.27e-4	2.88e-4	0.005294370216	0.001684175209	0.01533459621	0.004901493725	0.004591112166	0.007266818431	NA	3.25e-4	1.93e-4	6.91e-5	0.003819386136	0.1273652349	0.001544016484	NA	2.54e-4	NA	NA	NA	6.94e-5	2.73e-4	1.58e-4	3.63e-4	0.003204260663	2.54e-4	3.67e-4	0.001169477884	6e-4	0.02302397247	4.18e-4	5.26e-4	4.51e-4	0.004473923296	3.28e-4	0.001418950788	0.01367552791	0.006007821267	5.59e-4	8.97e-4	5.04e-4	8.39e-4	0.007970699058	7.35e-4	3e-4	0.01096821552	1.78e-4	1.9e-4	2.17e-4	0.008964188193	0.01429429836	2.39e-4	0.001545409591	0.003239568299	0.00199037567	0.0040422988	0.002772168942	0.001902878327	0.0026925974129999998	1.75e-4	2.14e-4	2.12e-4	0.002072007	8.14e-4	4e-4	2.41e-4	0.00129	3.99e-4	2.41e-4	2.4e-4	6.29e-4	2.42e-4	2.48e-4	2.16e-4	0.001619969688	0.0015	0.00137	2.12e-4	2.06e-4	7.83e-4	6.99e-5	3.66e-4	7.78e-5	7.03e-5	7.43e-5	7.58e-5	1.26e-4	1.08e-4	2.45e-4	1.29e-4	4.02e-4	1.16e-4	0.007476458248	0.00405	0.0202	4.91e-4	1.55e-4	0.001770025271	0.002904503662	0.001734338478	0.00159	0.002683489126	7.68e-4	0.002084772103	0.00508	0.01713158151	5.14e-4	0.001620158953	0.0020928442	8.664296882779277e-5
DNA/DTT	1.15e-4	1.09e-4	NA	4.04e-4	2.42e-4	2.39e-4	NA	1.45e-4	4.57e-4	4.24e-4	1.04e-4	4.92e-4	4.8e-4	NA	NA	2.63e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.62e-4	NA	1.39e-4	1.17e-4	7.22e-4	NA	9.47e-5	NA	1e-4	NA	NA	2.17e-4	0.001845132763	NA	0.003821109063	NA	NA	9.17e-5	NA	1.31e-4	0.004635354466	NA	NA	NA	NA	NA	NA	NA	2.81e-5	2.58e-5	2.58e-5	2.59e-5	2.82e-5	2.58e-5	2.59e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.13e-4	NA	NA	7.13e-5	NA	2.57e-5	2.61e-5	2.6e-5	9.72e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.53e-5	NA	NA	NA	NA	2.58e-5	2.6e-5	2.57e-5	2.58e-5	NA	NA	NA	NA	NA	NA	6.57e-5	8.49e-5	NA
DNA/Helitron	0.006543135211	0.00405084457	0.003054083794	0.01005318949	0.03734480859	0.02879633341	0.004713259382	0.01156175212	0.003419125859	0.008163221012	0.002506459001	0.006351447417	0.0053156011	0.01016758784	0.003645283126	0.002330797789	1.25e-4	1.85e-4	2.24e-4	1.72e-4	NA	1.89e-4	NA	1.07e-4	0.004201704011	1.42e-4	4.31e-4	0.00648427084	8.42e-4	NA	0.001636150267	0.005089234775	0.004783889492	0.004349542732	NA	0.001258673346	0.008680955431	0.002616517919	0.001258726371	0.001769787859	0.004518716932	0.006440473366	0.005552857072	0.001252462506	0.002411303462	0.003617361944	0.001570243453	0.001401691989	0.002506321329	0.004523742349	3.14e-4	0.00200382267	0.002347709694	0.003063817759	0.002259732776	0.001480004097	0.003685989197	0.002269129792	0.002150516765	0.002245974807	6.17e-4	8.55e-4	2.96e-4	0.001356094374	0.001845831977	0.004871069683	0.004525933181	0.00399	5.87e-4	0.004677474839	0.00470712906	0.004464562611	0.00526	3.68e-4	0.003984897208	0.002211847504	0.00237	0.00196	1.08e-4	1.15e-4	0.003903561016	6.12e-4	0.00316	6.81e-4	6.16e-4	6.51e-4	6.64e-4	1.22e-4	1.04e-4	3.1e-4	7.66e-4	NA	6.37e-4	0.004023667964	1.21e-4	0.0043	0.001304645433	3.26e-4	0.002976987715	0.001946453586	0.001468925386	0.002407082197	0.00154326156	0.002713740168	0.001586346428	0.003248891309	0.01535628231	0.003280452322	0.03071096319	0.03967096011	3.940791747941243e-5
LINE/unknown	0.03192551379	0.01646742547	0.02848239432	0.025492458	0.03059797929	NA	0.03010569585	0.03063711838	0.03041153772	0.02766620357	0.02689227534	0.02492322542	0.0176742199	NA	0.02102196495	NA	NA	NA	NA	0.001497829273	NA	NA	NA	NA	0.002625085433	0.01553652942	0.002726427475	NA	0.005214084349	NA	9.07e-4	NA	NA	0.003059348519	0.002794272446	NA	NA	NA	0.001928165074	0.002801810656	NA	0.005285955455	NA	0.003145496152	0.002910492085	0.002263565309	0.002832721553	0.002491025361	0.01263157766	0.007697236949	0.002197115228	0.00124747892	NA	NA	NA	NA	NA	0.001007843224	1.65e-4	9.35e-4	0.004505474244	0.006751324497	0.001798080042	5.15e-4	NA	0.00497009723	0.004684718262	0.004883339762	0.002852400863	0.004391312671	0.00469460741	0.004488094137	0.006377036503	0.005412297349	0.003373733708	NA	0.00137	9.23e-4	5.46e-4	0.001913430655	0.001244740163	0.00134391576	0.001749562307	0.001497169586	0.00135306795	0.001430138495	0.001459106242	0.002674949265	0.002292166191	0.006100736989	0.006752488113	0.002371866564	0.00423	0.001360166343	6.7e-4	0.001598634635	2.17e-4	0.005413305256	NA	0.001036659493	9.14e-4	NA	0.01582639826	0.01275087106	0.008632583379	0.0388526061	0.01671551567	0.01764221956	0.007459641426	0.009636009642	0.004249487101529973
LTR/Copia	0.001334933438	0.001328954319	0.002008373769	0.002849417278	0.002142471289	0.002321851249	0.002052731244	0.001609251735	0.002994831877	0.002833096299	NA	1.81e-5	2.51e-4	0.004867190409	1.2e-4	1.95e-4	4.62e-5	5.58e-5	1.07e-4	8.88e-5	5.75e-5	6.1e-5	5.69e-5	1e-4	NA	0.008157892392	NA	NA	0.002648601421	5.75e-4	NA	3.31e-5	2.26e-5	NA	4.77e-4	NA	NA	6.04e-4	0.001944482979	0.004361870645	3.45e-5	0.001844959764	3.02e-5	NA	0.01477074164	0.002167111389	0.002462369038	NA	0.004533006441	0.003726529685	0.00330326262	0.00153	NA	2.17e-4	1.91e-4	1.93e-4	1.79e-4	1.97e-4	2.09e-4	1.98e-4	1.11e-4	1.44e-4	4.93e-4	NA	5.22e-4	NA	5.02e-4	NA	0.00143	5.03e-4	NA	NA	NA	3.97e-4	NA	2.01e-4	1.82e-4	1.77e-4	6.01e-5	NA	NA	NA	NA	NA	NA	NA	NA	5.7e-4	4.89e-4	5.12e-4	0.003681994716	7.43e-5	NA	0.00165	3.16e-4	6.05e-4	NA	NA	1.9e-4	1.77e-4	2.08e-4	2.31e-4	0.008615189552	0.00936	0.01234542977	8.76e-4	0.00818	0.00515	6.77e-4	8.74e-4	0.0016602031556417402
LTR/Gypsy	0.1983396389	0.05341698191	0.1827610092	0.006383638993	0.01792063439	0.03472122248	0.04932742064	0.01988468743	0.01521115877	0.0257877069	0.06972338221	0.01280660472	0.05258063353	0.27669683900000003	0.01404890334	4.43e-4	6.51e-4	6.32e-4	5.5e-4	9.03e-4	4.71e-5	2.57e-4	0.001196744571	5.18e-4	0.03458808192	0.08601545475	0.003155895982	0.01548034344	NA	NA	NA	4.89e-5	1.11e-4	0.08567355012	0.02948229255	0.003812623997	4.42e-4	0.0115301814	0.005975320314	0.007312631501	5.4e-5	0.02397496503	6.39e-5	0.09049488676	0.009496614837	0.09427907578	0.1375061621	0.01623845712	0.06320287014	0.1534878556	0.08398510453	8.96e-4	0.01117100408	4.33e-4	4.23e-4	3.95e-4	4.1e-4	4.25e-4	4.53e-4	4.63e-4	6.72e-4	6.32e-4	0.004327903925	0.02661430876	NA	0.003703964282	0.003647520152	0.004114864767	0.004381648184	0.003805331628	0.004039261199	0.003656728847	0.003704053773	0.00396390115	0.0044	3.82e-4	4.66e-4	4.12e-4	4.12e-4	0.002997565644	0.002856171428	0.003826542538	0.005273443044	0.004262903433	0.003852601643	0.004072045248	0.004154525356	0.003150041273	0.002699272918	0.004292347774	0.004546395094	0.004080054071	0.08474936253	0.02162814229	0.005371030817	0.0214091843	NA	0.00429	4.1e-4	4.38e-4	4.24e-4	4.21e-4	0.06143036458	0.01110055797	0.008969648224	0.1839849668	0.1219387131	0.08056937356	0.03906111209	0.0504572849	0.01025517885715542
LTR/unknown	0.01071563659	0.03274751137	0.06037789335	0.1004071878	0.07406530825	0.06829094926	0.0221746484	0.03843408142	0.03678241535	0.07773383037	0.032412698920000003	0.0513723382	0.03075075946	0.1770936768	0.160895622	0.002021417809	0.01571071262	0.001752060812	0.002618139263	0.01294680629	0.002646169369	0.002717219455	0.0177589318	0.01708729159	0.02882973833	0.161541629	0.01392585674	0.04532733589	0.06065139901	0.0101788902	0.03916145845	1.81e-6	NA	0.0370312469	0.1397269498	0.07804982508	0.001868387702	0.05560208534	0.1307864844	0.2066776096	0.002048956197	0.174425491	1.75e-6	0.03416283809	0.1259924837	0.05825799801	0.03022871299	0.08081410252	0.1415996496	0.2893836391	0.08508541713	0.04103994903	0.08117114209	0.00218532223	0.0028201535	0.002302601751	7.79e-4	0.00245825924	0.002348829982	0.002651734108	0.00895541303	0.009477144632	0.01150702323	0.01366834543	0.01582405277	0.0165017611	0.01340920817	0.009907865764	0.01107333257	0.01465626712	0.007462101429	0.0150414917	0.01223568864	0.009465071076	0.01261533192	0.00231	0.003384259859	5.98e-4	0.005232198552	0.01291889973	0.01333809789	0.01129794809	0.01150636947	0.0125863129	0.01137488815	0.01202280005	0.01226632432	0.01154596636	0.009893747923	0.009883982186	0.008812976967	0.1557359738	0.05064824844	0.08447014479	0.05127261343	0.1019173794	0.02937143404	0.01030359524	0.002975695165	0.002727834712	0.00307911903	0.002753725267	0.1518643987	0.1702858207	0.1983710121	0.3169234328	0.1529432845	0.114630943	0.1553452689	0.2006676224	0.0038095000850435112
