class	n	total	percentage
DNA/DTC	21	22028	0.0012773953104723568
DNA/DTH	8	1894	1.0983233693638296e-4
DNA/DTM	6	4120	2.3891722712666196e-4
DNA/Helitron	213	40485	0.002347709694228862
LTR/Gypsy	55	192638	0.011171004077482017
LTR/unknown	1358	1399753	0.08117114209277342
Low_complexity	1400	70523	0.004089601846760578
MITE/DTC	64	6653	3.858049301149714e-4
MITE/DTH	1	344	1.994842867271158e-5
MITE/DTM	35	5151	2.987045235265621e-4
Simple_repeat	7076	272374	0.01579486427703821
Unknown	1309	992828	0.05757371669264795
