class	n	total	percentage
DNA/DTC	59	17827	6.293597247127538e-4
DNA/DTM	245	42636	0.0015052101432014905
DNA/DTT	1	738	2.605415812183835e-5
DNA/Helitron	482	90816	0.0032061442059524007
LTR/Copia	33	5665	1.9999567176180795e-4
LTR/Gypsy	42	11844	4.181374644919423e-4
LTR/unknown	241	94440	0.0033340849499002897
Low_complexity	1907	95413	0.0033684354862858574
MITE/DTH	1	224	7.908037153511912e-6
MITE/DTM	15	2248	7.936280143345883e-5
Simple_repeat	9925	370968	0.013096556815910744
TIR/Tc1_Mariner	31	8236	2.907615803407326e-4
Unknown	5958	853006	0.030114299732895453
