class	n	total	percentage
DNA/DTC	7	2684	9.369348260943889e-5
DNA/DTM	291	54511	0.0019028783273186004
DNA/DTT	1	738	2.5762216902297282e-5
DNA/Helitron	327	61605	0.0021505167645881084
LINE/unknown	24	4714	1.6455703316724848e-4
LTR/Copia	34	5975	2.085762140802524e-4
LTR/Gypsy	48	12972	4.5282856051029856e-4
LTR/TRIM	1	80	2.7926522387314127e-6
LTR/unknown	164	67286	0.002348829981691023
Low_complexity	1906	95381	0.0033295745397805107
MITE/DTH	1	224	7.819426268447956e-6
MITE/DTM	15	2242	7.826407899044784e-5
Simple_repeat	9861	369322	0.012892348876409535
TIR/Tc1_Mariner	79	21651	7.557964202596726e-4
Unknown	6279	922264	0.03219453280376734
