class	n	total	percentage
DNA/DTC	2	2222	8.243861588012609e-5
DNA/DTH	1	864	3.205533938813184e-5
DNA/DTM	30	9763	3.622179148684388e-4
LINE/unknown	1015	1088687	0.04039147138014709
LTR/Copia	127	175964	0.006528455717700499
LTR/Gypsy	75	199858	0.007414949096566265
LTR/unknown	5918	7860873	0.29164693507176165
Low_complexity	1324	65406	0.002426633712986286
MITE/DTC	35	12030	4.463260796750301e-4
MITE/DTM	27	3071	1.139374389594362e-4
MITE/DTT	160	28849	0.0010703292662132121
Simple_repeat	7159	267245	0.009915080063404275
Unknown	4481	1550676	0.05753176557989667
