class	n	total	percentage
DNA/DTC	6	3147	1.1800756433362174e-4
DNA/DTH	70	11428	4.285320766458943e-4
DNA/DTM	29	13087	4.907419747169075e-4
DNA/Helitron	229	34792	0.0013046454332047562
LINE/unknown	18	5779	2.1670343637877345e-4
LTR/unknown	1178	783271	0.029371434039771285
Low_complexity	1905	96300	0.003611098965785756
MITE/DTC	18	2813	1.054830881698373e-4
MITE/DTM	1	306	1.1474520078197729e-5
MITE/DTT	1	598	2.2424062113602098e-5
Simple_repeat	9579	374107	0.014028425761092542
TIR/Tc1_Mariner	62	19217	7.20607360597143e-4
Unknown	2068	833826	0.03126716725072974
