class	n	total	percentage
DNA/DTC	10	8138	2.8729352763479197e-4
DNA/DTM	241	42475	0.001499482991679502
DNA/DTT	1	738	2.6053406659434316e-5
DNA/Helitron	355	67245	0.002373931342565936
LINE/unknown	57	38941	0.0013747231825542434
LTR/Copia	32	5160	1.8216203030173587e-4
LTR/Gypsy	53	13195	4.6581937787430327e-4
LTR/TRIM	1	80	2.8242175240579206e-6
LTR/unknown	218	95864	0.003384259859078606
Low_complexity	1872	93688	0.0033074411424242308
MITE/DTM	150	13424	4.739037005369191e-4
Simple_repeat	9680	361575	0.012764580640765532
Unknown	6261	886598	0.0312993201049338
