class	n	total	percentage
DNA/DTA	41	11474	3.1388801545793155e-4
DNA/DTC	574	322967	0.008835233631549744
DNA/DTH	34	31225	8.54205445587756e-4
DNA/DTM	137	59224	0.0016201589530661093
DNA/DTT	17	2403	6.57375720015173e-5
DNA/Helitron	3592	1122622	0.030710963194127073
LINE/unknown	433	272683	0.007459641425755198
LTR/Copia	180	24740	6.76798806207881e-4
LTR/Gypsy	687	1427857	0.03906111208712879
LTR/unknown	5426	5678559	0.15534526888363048
Low_complexity	2073	121054	0.0033116088393972845
MITE/DTC	36	3975	1.0874192621973835e-4
MITE/DTM	2	752	2.0572057488614654e-5
MITE/DTT	1	256	7.003253613145413e-6
Simple_repeat	9169	368791	0.010088816028302774
Unknown	4930	1624826	0.044449486543877384
