class	n	total	percentage
DNA/DTC	122	30416	9.776451108391001e-4
DNA/DTM	7	5937	1.9082979428760316e-4
DNA/Helitron	321	135008	0.004339489450426263
LINE/unknown	49	101382	0.0032586670379763827
LTR/Copia	50	4264	1.3705545609606534e-4
LTR/Gypsy	317	902621	0.029012460796643196
LTR/unknown	915	887069	0.028512581234446666
Low_complexity	2171	111798	0.0035934629175956643
MITE/DTC	8	2928	9.411312745058145e-5
MITE/DTM	37	10941	3.516706719388018e-4
MITE/DTT	1	256	8.228470159613678e-6
Simple_repeat	11476	451744	0.014520164155408287
TIR/Tc1_Mariner	19	9590	3.08246206369903e-4
Unknown	1574	1080455	0.03472848330588046
