class	n	total	percentage
DNA/DTA	19	3299	1.1359068274060333e-4
DNA/DTC	4	1945	6.696995390435691e-5
DNA/DTM	325	33965	0.0011694778839904795
DNA/DTT	11	3401	1.1710273173713001e-4
DNA/Helitron	50	24463	8.423064176669837e-4
LINE/unknown	512	151432	0.005214084349431659
LTR/Copia	227	76923	0.0026486014211747288
LTR/unknown	4632	1761491	0.06065139900922343
Low_complexity	1994	122863	0.004230400743728023
MITE/DTA	752	130550	0.004495078397025088
MITE/DTC	56	11079	3.81470498358031e-4
MITE/DTM	130	14844	5.111064245533543e-4
MITE/DTT	1	256	8.814554344223842e-6
Simple_repeat	9191	382210	0.013160198499632009
Unknown	5540	1395602	0.0480531627808886
