class	n	total	percentage
DNA/DTC	56	56498	0.0025754189124126913
DNA/DTH	310	42346	0.0019303106174559776
DNA/DTM	449	196651	0.008964188193296545
DNA/Helitron	43	6882	3.137108031297416e-4
LINE/unknown	65	48199	0.0021971152281386828
LTR/Copia	89	72465	0.0033032626197030987
LTR/Gypsy	582	1842415	0.08398510452605099
LTR/unknown	908	1866553	0.08508541713371529
Low_complexity	1348	70582	0.0032174274784224676
MITE/DTA	6	1397	6.368119615987345e-5
MITE/DTM	25	4050	1.8461620933964742e-4
Simple_repeat	7660	305970	0.013947412733741215
TIR/Tc1_Mariner	24	9269	4.2252040601708444e-4
Unknown	1982	2025722	0.0923410164977603
