class	n	total	percentage
DNA/DTC	137	32230	8.744270407025846e-4
DNA/DTH	22	12646	3.430966291258109e-4
DNA/DTM	11	7991	2.1680255917636842e-4
DNA/Helitron	432	166738	0.004523742349136443
LINE/unknown	444	283708	0.007697236948918674
LTR/Copia	65	137354	0.003726529685034527
LTR/Gypsy	2771	5657320	0.15348785559750375
LTR/unknown	6040	10666224	0.28938363908752357
Low_complexity	2190	101600	0.002756493556791269
MITE/DTC	19	1541	4.1808627667473874e-5
Simple_repeat	9383	364823	0.009897955205406114
Unknown	4583	2091423	0.05674206716560105
