class	n	total	percentage
DNA/DTC	39	55216	0.00212299278157078
DNA/DTH	11	1960	7.535978433567678e-5
DNA/DTM	2	4618	1.7755687962354866e-4
DNA/Helitron	91	36456	0.001401691988643588
LINE/unknown	51	64788	0.0024910253609897078
LTR/Gypsy	224	422339	0.016238457120686427
LTR/unknown	1496	2101859	0.08081410252244962
Low_complexity	1809	91656	0.003524069588301424
MITE/DTC	52	9663	3.715314265487983e-4
MITE/DTM	10	4479	1.7221248675484505e-4
Simple_repeat	8997	352468	0.013551996155728226
Unknown	2774	1468629	0.05646712485159217
