class	n	total	percentage
DNA/DTC	33	20297	9.994741398069173e-4
DNA/DTM	177	222739	0.0109682155208382
DNA/Helitron	207	31888	0.0015702434532277175
LINE/unknown	135	57526	0.002832721553260715
LTR/Copia	141	50005	0.0024623690378403167
LTR/Gypsy	1393	2792431	0.13750616207790167
LTR/unknown	263	613875	0.030228712990785406
Low_complexity	1377	70382	0.0034657825741681264
MITE/DTC	1	329	1.6200768192170066e-5
MITE/DTH	1	114	5.613640042271694e-6
MITE/DTM	1	556	2.7378805820202298e-5
MITE/DTT	1	378	1.861364856121667e-5
Simple_repeat	7119	279196	0.013748296888088492
Unknown	1751	1539487	0.0758081216469888
