class	n	total	percentage
DNA/DTA	8	4771	1.5513476564570368e-4
DNA/DTC	866	646488	0.02102132977840278
DNA/DTH	4	3862	1.2557754452393788e-4
DNA/DTM	73	22607	7.350936170514406e-4
DNA/DTT	7	4032	1.3110529764902057e-4
DNA/Helitron	246	74157	0.0024113034617456396
LINE/unknown	198	89509	0.0029104920851354622
LTR/Copia	397	454258	0.01477074164172837
LTR/Gypsy	203	292058	0.009496614836502394
LTR/unknown	2412	3874761	0.12599248368646246
Low_complexity	1930	96325	0.0031321224692564256
MITE/DTM	16	4268	1.387791196344295e-4
Simple_repeat	9617	393620	0.012799024618206221
Unknown	3309	1909837	0.062100632030285846
