class	n	total	percentage
DNA/DTC	39	43140	0.0018908379041731765
DNA/DTM	28	19144	8.390867138964138e-4
DNA/DTT	1	2092	9.16929275737201e-5
DNA/Helitron	114	126690	0.005552857071852104
LTR/Copia	9	689	3.0199056930350455e-5
LTR/Gypsy	20	1457	6.386070529393412e-5
LTR/unknown	1	40	1.7532108522699828e-6
Low_complexity	501	24215	0.0010613500196929408
MITE/DTC	1	433	1.8978507475822564e-5
MITE/DTM	4	1214	5.320994936639398e-5
MITE/DTT	1	503	2.2046626467295034e-5
Simple_repeat	3042	121928	0.005344137319889362
Unknown	481	265282	0.01162738203279714
