class	n	total	percentage
DNA/DTC	10	3178	1.386643205140685e-4
DNA/DTH	12	2429	1.0598352250744884e-4
DNA/DTM	10	11549	5.039125983690929e-4
DNA/Helitron	220	147607	0.006440473366305888
LINE/unknown	133	121147	0.005285955455417829
LTR/Copia	66	42284	0.0018449597635672981
LTR/Gypsy	357	549474	0.02397496502521941
LTR/unknown	1900	3997598	0.1744254909875391
Low_complexity	1486	76113	0.00332100611305453
MITE/DTA	7	1391	6.069291058372225e-5
MITE/DTC	2	906	3.953111214151859e-5
Simple_repeat	7969	311412	0.01358770716800727
Unknown	1443	907974	0.039617242842807064
