class	n	total	percentage
DNA/DTC	90	129442	0.00645909944758687
DNA/DTH	17	4261	2.126220449789686e-4
DNA/DTM	41	11193	5.585258271414211e-4
DNA/DTT	305	76576	0.003821109062733982
DNA/Helitron	148	35467	0.0017697878594858199
LINE/unknown	53	56149	0.0028018106556029353
LTR/Copia	155	87413	0.004361870644859559
LTR/Gypsy	100	146547	0.00731263150094647
LTR/unknown	1363	4141872	0.2066776096411947
Low_complexity	1249	67001	0.0033433207311982806
Simple_repeat	6661	266780	0.013312205857659996
Unknown	1341	892758	0.04454823553891904
