class	n	total	percentage
DNA/DTC	403	672768	0.02326395379741596
DNA/DTH	4	1273	4.401965192177767e-5
DNA/DTM	18	13046	4.511236284143845e-4
DNA/DTT	14	2893	1.0003837628413416e-4
DNA/Helitron	249	125784	0.004349542731601636
LINE/unknown	127	88473	0.003059348518833806
LTR/Gypsy	757	2477585	0.08567355012303025
LTR/unknown	648	1070903	0.03703124689865473
Low_complexity	1845	91269	0.0031560326875480957
MITE/DTM	10	1215	4.201404327176737e-5
MITE/DTT	1	378	1.3071035684549849e-5
Simple_repeat	9604	376375	0.013014844062890078
Unknown	2718	1436845	0.04968532346075933
