class	n	total	percentage	Histoplasma capsulatum HISSP-FGPSO2043
DNA/DTC	92	60578	0.0030785737103892438	0.0030785737103892438
DNA/DTH	28	18911	9.610569420775031e-4	9.610569420775031e-4
DNA/DTM	9	10344	5.256820373777004e-4	5.256820373777004e-4
DNA/Helitron	99	94134	0.00478388949212224	0.00478388949212224
LTR/Copia	5	445	2.2614898166384058e-5	2.2614898166384058e-5
LTR/Gypsy	18	2187	1.1114333098849872e-4	1.1114333098849872e-4
Low_complexity	443	21723	0.0011039627704906986	0.0011039627704906986
MITE/DTM	2	1046	5.3157715689972414e-5	5.3157715689972414e-5
Simple_repeat	2658	106014	0.005387631043170875	0.005387631043170875
Unknown	335	246251	0.012514474805326383	0.012514474805326383
