class	n	total	percentage
DNA/DTC	70	22796	8.114861384704483e-4
DNA/DTM	262	43374	0.001544016484033042
DNA/DTT	1	738	2.6271133979259117e-5
DNA/Helitron	388	65476	0.002330797789195081
LTR/Copia	32	5468	1.9464845609564886e-4
LTR/Gypsy	49	12448	4.4312069888051154e-4
LTR/TRIM	1	80	2.847819401545704e-6
LTR/unknown	172	56785	0.00202141780895966
Low_complexity	1851	90923	0.0032366535430842502
MITE/DTM	151	13583	4.835241366399412e-4
Simple_repeat	9675	361369	0.012863920616464618
TIR/PiggyBac	17	3216	1.144823399421373e-4
TIR/Tc1_Mariner	18	6285	0.00022373181173393434
Unknown	6198	900101	0.03204156363938362
