class	n	total	percentage
DNA/Helitron	3	2934	1.248053425874751e-4
LTR/Copia	14	1085	4.6153304944584344e-5
LTR/Copia_1	5	561	2.3863598224803517e-5
LTR/Copia_2	1	102	4.3388360408733665e-6
LTR/Copia_4	1	40	1.7015043297542615e-6
LTR/Gypsy	91	15299	6.507828685227611e-4
LTR/Gypsy_1	27	4788	2.0367006827158511e-4
LTR/Gypsy_2	12	1789	7.609978114825935e-5
LTR/Gypsy_3	1	70	2.9776325770699577e-6
LTR/unknown	1001	369337	0.015710712615961242
Low_complexity	1425	72117	0.003067684693722202
MITE/DTM	17	2337	9.941039046589273e-5
Simple_repeat	7701	298484	0.012696795459059275
Unknown	2635	608158	0.025869586754367305
