class	n	total	percentage
DNA/DTC	124	44157	0.0015604099916560453
DNA/DTH	29	5245	1.8534661336222928e-4
DNA/DTM	261	80959	0.002860910671342749
DNA/DTT	6	2432	8.594146114336351e-5
DNA/Helitron	86	77977	0.002755533435680944
LINE/unknown	649	1105612	0.03906986461251497
LTR/Gypsy	2522	4740851	0.16753111102096052
LTR/unknown	1260	1105140	0.039053185184200964
Low_complexity	1867	90481	0.0031973969349147506
MITE/DTC	18	6417	2.2676248197243568e-4
MITE/DTM	1	260	9.187820681445111e-6
Simple_repeat	10343	391102	0.013820673246748254
Unknown	2134	716526	0.02532043231381977
