class	n	total	percentage
DNA/DTA	13	4003	1.6720117019934657e-4
DNA/DTC	6	2460	1.0275165593065015e-4
DNA/DTH	97	19419	8.111115473647542e-4
DNA/DTM	4	6083	2.5408061911631904e-4
DNA/Helitron	18	10316	4.3088865145552314e-4
LINE/unknown	239	65274	0.0027264274752915683
LTR/Gypsy	352	75556	0.0031558959819090256
LTR/unknown	728	333402	0.01392585674414253
Low_complexity	1831	92781	0.003875366418252704
MITE/DTM	7	1174	4.903676587909889e-5
Simple_repeat	10002	374954	0.015661440812122358
Unknown	3647	782945	0.032702802948220686
