class	n	total	percentage
DNA/DTA	8	4053	1.2458688136719116e-4
DNA/DTC	553	206097	0.006335302859396496
DNA/DTH	204	44652	0.0013725767152252208
DNA/DTM	617	486192	0.014945261541001087
DNA/DTT	352	142780	0.004388974814114867
DNA/Helitron	86	25424	7.815190900270092e-4
LINE/unknown	521	624409	0.019193972368025284
LTR/Copia	626	556359	0.017102154633745155
LTR/Gypsy	1140	829263	0.025491066124648666
LTR/unknown	657	507997	0.015615534659237358
Low_complexity	2037	107652	0.003309160363419902
MITE/DTC	1	451	1.3863479767234942e-5
MITE/DTM	17	3360	1.0328446123704968e-4
Simple_repeat	13006	495346	0.015226650219026073
TIR/Tc1_Mariner	119	76215	0.0023428051229707563
Unknown	4122	1403989	0.04315781174040004
