class	n	total	percentage
DNA/DTA	20	9084	2.3907158743928828e-4
DNA/DTC	281	65760	0.0017306635391906207
DNA/DTH	6	1454	3.8266192000960496e-5
DNA/DTM	1287	259683	0.006834305046344859
DNA/DTT	16	3751	9.871835364209273e-5
DNA/Helitron	43	37465	9.859992319917366e-4
LINE/unknown	382	850271	0.02237732691805274
LTR/Copia	149	139758	0.003678133742551745
LTR/Gypsy	1939	5031689	0.13242336820022071
LTR/unknown	2885	3981082	0.10477362323491597
Low_complexity	2289	133846	0.003522542458432296
MITE/DTC	1	493	1.2974712968688807e-5
MITE/DTH	4	737	1.939627476252262e-5
MITE/DTM	41	4806	1.2648371303756268e-4
MITE/DTT	7	710	1.868569210500822e-5
Simple_repeat	10567	426962	0.011236733059913408
Unknown	2091	1167184	0.03071780401956608
