class	n	total	percentage
DNA/DTC	41	11337	3.9660583488099514e-4
DNA/DTM	391	56895	0.001990375670420236
DNA/DTT	1	738	2.5817685996487114e-5
DNA/Helitron	301	42306	0.0014800040972457777
LTR/Copia	38	5523	1.9321284520135276e-4
LTR/Gypsy	45	11286	3.948216858487176e-4
LTR/unknown	166	65820	0.00230260175106881
Low_complexity	1905	94651	0.0033112056873353685
MITE/DTH	1	224	7.836262416277933e-6
MITE/DTM	1	426	1.4902891916671425e-5
Simple_repeat	9875	368308	0.012884634544707556
TIR/PiggyBac	16	4661	1.6305722822442607e-4
TIR/Tc1_Mariner	80	23758	8.311335825264782e-4
Unknown	6057	853249	0.02984947799297647
