class	n	total	percentage
DNA/DTC	10	8138	2.862297263323048e-4
DNA/DTM	468	82580	0.0029045036618974844
DNA/DTT	1	738	2.595693512327856e-5
DNA/Helitron	360	55341	0.0019464535862565838
LINE/unknown	30	29474	0.001036659492985789
LTR/Copia	22	5042	1.7733721801025813e-4
LTR/Gypsy	43	12442	4.376100092192843e-4
LTR/unknown	169	77557	0.0027278347118646546
Low_complexity	1885	94306	0.003316930519967355
MITE/DTM	1	426	1.4983271493925022e-5
Simple_repeat	9796	364821	0.012831483778603804
TIR/Tc1_Mariner	17	3275	1.1518829610940011e-4
Unknown	6324	903704	0.031785076014427274
