class	n	total	percentage
DNA/DTC	10	8138	2.8323259225445524e-4
DNA/DTM	284	49832	0.0017343384784005913
DNA/DTT	1	738	2.5685138004889155e-5
DNA/Helitron	114	42206	0.0014689253856834034
LINE/unknown	29	26250	9.13597388385285e-4
LTR/Copia	38	5988	2.0840461568194616e-4
LTR/Gypsy	45	12184	4.2404840305090716e-4
LTR/unknown	224	88471	0.003079119030393697
Low_complexity	1910	94543	0.003290447157718476
MITE/DTH	1	224	7.796031047554431e-6
MITE/DTM	16	2452	8.533869700269405e-5
Simple_repeat	9932	373488	0.012998768053075937
TIR/Tc1_Mariner	32	10574	3.680144298966097e-4
Unknown	6313	925972	0.03222726098734854
