class	n	total	percentage
DNA/DTC	54	30142	0.0010442606165745384
DNA/DTH	32	11983	4.1514746760044766e-4
DNA/DTM	3	5039	1.7457465486427903e-4
DNA/Helitron	59	17799	6.166410561479069e-4
LINE/unknown	253	130048	0.004505474244054328
LTR/Copia	23	3202	1.1093233674844642e-4
LTR/Gypsy	108	19397	6.720032904152451e-4
LTR/TRIM	1	79	2.7369314813014575e-6
LTR/unknown	671	258493	0.008955413030329843
Low_complexity	1818	93703	0.003246312539144183
MITE/DTM	3	725	2.5117409163842487e-5
Simple_repeat	10350	395086	0.013687636850904654
TIR/Tc1_Mariner	89	29853	0.0010342482976112963
Unknown	7215	1556184	0.0539135313961725
