class	n	total	percentage
DNA/DTA	10	3992	1.394311453762142e-4
DNA/DTC	101	48605	0.0016976580212953133
DNA/DTH	116	33078	0.0011553365297480994
DNA/DTM	5	6887	2.4054666788727132e-4
DNA/Helitron	481	133919	0.004677474839087482
LINE/unknown	203	125726	0.004391312671234946
LTR/Copia	14	14398	5.02888184149983e-4
LTR/Gypsy	397	108949	0.003805331627653597
LTR/unknown	822	419618	0.014656267124367796
Low_complexity	1898	96248	0.003361715651345156
MITE/DTC	1	451	1.575236637391598e-5
MITE/DTH	23	4103	1.433081135968454e-4
MITE/DTM	25	3330	1.1630904661893618e-4
Simple_repeat	10408	399409	0.013950414414721526
TIR/Tc1_Mariner	21	4334	1.5137639881275357e-4
Unknown	5967	1412415	0.04933232494903446
