class	n	total	percentage	Histoplasma capsulatum CB192-2
DNA/DTA	11	4307	1.496464580712479e-4	1.496464580712479e-4
DNA/DTC	222	59579	0.002070068800888525	0.002070068800888525
DNA/DTH	422	97673	0.003393642558438123	0.003393642558438123
DNA/DTM	6	6218	2.1604403907290909e-4	2.1604403907290909e-4
DNA/Helitron	439	114690	0.003984897208310059	0.003984897208310059
LINE/unknown	146	97100	0.0033737337076197287	0.0033737337076197287
LTR/Gypsy	460	126604	0.00439884842759514	0.00439884842759514
LTR/unknown	565	363084	0.012615331920673548	0.012615331920673548
Low_complexity	1920	97116	0.0033742896266652687	0.0033742896266652687
MITE/DTC	1	451	1.5669968096153425e-5	1.5669968096153425e-5
MITE/DTM	30	4163	1.446431866613896e-4	1.446431866613896e-4
Simple_repeat	10670	412325	0.014326207528262663	0.014326207528262663
TIR/Tc1_Mariner	50	10888	3.7830291048984146e-4	3.7830291048984146e-4
Unknown	5322	1268965	0.04409011322646415	0.04409011322646415
