class	n	total	percentage
DNA/DTC	92	19521	6.89002595945491e-4
DNA/DTM	247	38785	0.0013689342597072828
DNA/DTT	1	738	2.604804650416333e-5
DNA/Helitron	342	55448	0.0019570624424970844
LINE/unknown	31	26149	9.229408780994131e-4
LTR/Copia	32	5026	1.7739496169366515e-4
LTR/Gypsy	46	11670	4.118979711430705e-4
LTR/TRIM	1	80	2.823636477416079e-6
LTR/unknown	62	16941	5.979403195488224e-4
Low_complexity	1877	93640	0.0033050664968155203
MITE/DTM	67	8832	3.1172946710673514e-4
Simple_repeat	9732	362427	0.012792026220005966
TIR/Tc1_Mariner	72	15586	5.501149767125876e-4
Unknown	6238	857883	0.030279371651939224
