class	n	total	percentage
DNA/DTA	7	2356	5.786394462489268e-5
DNA/DTC	441	356228	0.008749048075482288
DNA/DTM	701	84884	0.00208477210336986
DNA/Helitron	142	64590	0.00158634642755595
LINE/unknown	682	351486	0.008632583378788212
LTR/Copia	542	502659	0.012345429771308968
LTR/Gypsy	129	365210	0.008969648224302655
LTR/unknown	8732	8076914	0.19837101206961819
Low_complexity	1842	103935	0.002552669390742029
MITE/DTC	17	2667	6.550218179736366e-5
MITE/DTM	215	24862	6.106168893311043e-4
MITE/DTT	9	1050	2.5788260550143172e-5
Simple_repeat	9150	382659	0.009398199994149748
Unknown	8232	3680815	0.09040172976845261
