class	n	total	percentage
DNA/DTA	719	281956	0.00459328989933505
DNA/DTC	351	346382	0.005642841230232637
DNA/DTH	542	322904	0.005260365736692551
DNA/DTM	1682	311976	0.005082339831870759
DNA/Helitron	154	199431	0.0032488913089783102
LINE/unknown	2549	2384941	0.03885260610098751
LTR/Copia	424	53751	8.756469994579235e-4
LTR/Gypsy	7644	11293793	0.18398496684617774
LTR/unknown	18497	19454131	0.3169234328144848
Low_complexity	1559	76642	0.0012485597911193126
MITE/DTC	29	3810	6.206796279017486e-5
MITE/DTM	313	45775	7.457115476956047e-4
MITE/DTT	1	256	4.1704457937755284e-6
Simple_repeat	9489	360766	0.005877168153270399
TIR/Tc1_Mariner	36	27460	4.4734547459795315e-4
Unknown	7989	3871918	0.06307665678493654
