class	n	total	percentage
DNA/DTA	335	68208	0.0021486336749375686
DNA/DTC	1875	1123262	0.03538409803802667
DNA/DTM	603	453770	0.014294298362016487
DNA/Helitron	89	63611	0.0020038226703092553
LINE/unknown	71	39601	0.0012474789197924386
LTR/Copia	15	937	2.95166220005938e-5
LTR/Gypsy	122	28454	8.96335071936922e-4
LTR/unknown	1387	1302806	0.04103994903106254
Low_complexity	1981	96130	0.0030282101098368
MITE/DTC	42	4460	1.4049534057913377e-4
MITE/DTM	44	5353	1.6862590989239978e-4
MITE/DTT	12	5799	1.8267544395031315e-4
Simple_repeat	9924	387240	0.012198523696382009
Unknown	2524	1098381	0.034600316744540255
