class	n	total	percentage
DNA/DTC	15	4346	1.8466464246571232e-4
DNA/DTM	9	7058	2.998994584728481e-4
DNA/DTT	101	109091	0.004635354466458128
DNA/Helitron	201	85133	0.0036173619436340285
LINE/unknown	69	53272	0.0022635653091195185
LTR/Copia	103	51002	0.0021671113886415692
LTR/Gypsy	704	2218816	0.0942790757793838
LTR/unknown	990	1371076	0.05825799800582582
Low_complexity	1611	82678	0.0035130472410906956
MITE/DTA	8	1859	7.899023707863765e-5
MITE/DTC	12	2606	1.107308003372403e-4
MITE/DTM	34	4731	2.0102356730448344e-4
Simple_repeat	8477	357260	0.015180232436102252
Unknown	1828	1123706	0.047747070116561374
