class	n	total	percentage
DNA/DTC	88	48220	0.0022811911015570003
DNA/DTH	3	3134	1.4826322920530153e-4
DNA/DTM	33	18961	8.970067290879777e-4
DNA/Helitron	107	95517	0.004518716931717545
LTR/Copia	8	730	3.453483003186666e-5
LTR/Gypsy	14	1142	5.402572040601606e-5
LTR/unknown	43	43311	0.0020489561965892833
Low_complexity	454	22217	0.001051041532627372
MITE/DTC	1	433	2.0484358087394883e-5
MITE/DTM	1	455	2.1525133786985384e-5
Simple_repeat	2799	113674	0.005377688039784124
Unknown	426	425494	0.02012926434188914
