class	n	total	percentage
DNA/DTA	1	4051	8.450878284280203e-5
DNA/DTC	184	169103	0.0035276940767875464
DNA/DTM	1408	655548	0.013675527912869212
DNA/DTT	127	88448	0.001845132763485597
DNA/Helitron	141	125425	0.0026165179185530596
LTR/Copia	34	28975	6.044537109035271e-4
LTR/Gypsy	290	552709	0.011530181401200263
LTR/unknown	2164	2665333	0.05560208533713998
Low_complexity	2020	100971	0.0021063777616441774
MITE/DTA	11	3052	6.366842884133098e-5
MITE/DTC	3	1183	2.4678817601341593e-5
MITE/DTM	11	8088	1.6872550867257042e-4
Simple_repeat	16042	626633	0.013072325874878686
Unknown	1519	657259	0.013711221452104965
