class	n	total	percentage
DNA/DTC	90	42864	0.001781126466918497
DNA/DTH	61	37562	0.001560812624822522
DNA/DTM	47	34148	0.0014189507883616284
DNA/DTT	10	5223	2.1703115753815113e-4
DNA/Helitron	280	208913	0.00868095543074244
LTR/Gypsy	10	10625	4.4150029654276387e-4
LTR/unknown	24	44964	0.0018683877019998903
Low_complexity	454	21729	9.029044652779027e-4
MITE/DTC	2	948	3.9392214693886135e-5
MITE/DTH	1	527	2.189841470852109e-5
MITE/DTM	1	218	9.058547260830355e-6
Simple_repeat	3013	119711	0.00497434748229937
TIR/Tc1_Mariner	26	13596	5.649541676983923e-4
Unknown	690	393053	0.016332519158308044
