class	n	total	percentage
DNA/DTC	5	5547	2.2865109047237657e-4
DNA/DTH	16	4706	1.9398450185019006e-4
DNA/DTM	7	7957	3.2799291993666855e-4
DNA/Helitron	195	30535	0.0012586733455154171
LTR/Gypsy	38	92493	0.0038126239969463725
LTR/unknown	1095	1893463	0.07804982508006086
Low_complexity	1745	87265	0.0035971223021582736
MITE/DTA	10	2231	9.196332843769103e-5
MITE/DTC	41	20048	8.263921149793052e-4
MITE/DTM	18	2122	8.747027473992845e-5
Simple_repeat	8917	355386	0.014649251205807828
Unknown	1865	1481275	0.061059157028929084
