class	n	total	percentage
DNA/DTA	4	3205	1.5364998782066165e-4
DNA/DTC	210	50874	0.002438935875316175
DNA/DTM	211	93322	0.00447392329591257
LINE/unknown	48	58286	0.002794272446213755
LTR/Copia	20	9952	4.77105984022223e-4
LTR/Gypsy	164	614974	0.029482292546029198
LTR/unknown	1633	2914578	0.1397269498291321
Low_complexity	1371	76429	0.0036640608172060374
MITE/DTA	5	1209	5.796032301877689e-5
MITE/DTC	17	7693	3.6880791148341654e-4
MITE/DTM	16	6393	3.064849835062371e-4
Simple_repeat	7481	289104	0.013859852130703452
Unknown	1306	1505963	0.07219694121945931
