class	n	total	percentage
DNA/DTC	47	43906	0.0019877234332700156
DNA/DTH	32	22050	9.982531249397312e-4
DNA/DTM	9	9241	4.1836086746340395e-4
DNA/DTT	1	2092	9.470954818022303e-5
DNA/Helitron	111	112414	0.005089234774919499
LTR/Copia	8	732	3.313928741296523e-5
LTR/Gypsy	13	1081	4.893930285985712e-5
LTR/unknown	1	40	1.810890022566406e-6
Low_complexity	433	21308	9.646611150211245e-4
MITE/DTC	1	433	1.9602884494281344e-5
MITE/DTM	3	1356	6.138917176500117e-5
MITE/DTT	1	503	2.2771942033772555e-5
Simple_repeat	2889	114611	0.005188697909408959
Unknown	433	508859	0.02303719214982797
