class	n	total	percentage
DNA/DTA	26	12573	5.303912543531695e-4
DNA/DTC	3	1804	7.610163229564285e-5
DNA/DTM	8	6480	2.7335841312403863e-4
DNAauto/Helitron	1	47	1.9826921939552186e-6
DNAnona/Helitron	10	557	2.3497011745384188e-5
LTR/Copia	21	1349	5.6907484460544464e-5
LTR/Gypsy	171	28369	0.0011967445712833106
LTR/unknown	1090	420978	0.017758931796316598
Low_complexity	1273	61993	0.0026151710038269335
Simple_repeat	5629	208227	0.008784043563206667
TIR/Tc1_Mariner	76	31637	0.0013346049561736436
Unknown	1993	590852	0.024925056344315508
