class	n	total	percentage
DNA/DTC	109	50872	0.002222349976960462
DNA/DTM	194	73349	0.0032042606632346465
DNA/DTT	15	3704	1.6180972469455793e-4
DNA/Helitron	6	3241	1.415835091077382e-4
LINE/unknown	489	355648	0.015536529419052413
LTR/Copia	281	186743	0.008157892391640343
LTR/Gypsy	905	1968987	0.08601545475085409
LTR/unknown	2728	3697863	0.16154162904648814
Low_complexity	1365	68140	0.00297670481660021
MITE/DTC	21	3060	1.3367650042260995e-4
MITE/DTM	20	2759	1.2052727603463427e-4
Simple_repeat	6278	273248	0.011936874636430499
TIR/Tc1_Mariner	20	11210	4.897103169076659e-4
Unknown	2871	1224967	0.05351284369058276
