class	n	total	percentage
DNA/DTA	11	3887	1.3814182997160966e-4
DNA/DTC	66	33381	0.001186342275863726
DNA/DTH	132	32507	0.001155280799302062
DNA/DTM	5	6887	2.44760170572286e-4
DNA/Helitron	17	8717	3.097973583386986e-4
LINE/unknown	317	171661	0.006100736988617568
LTR/Copia	13	14398	5.116969559895128e-4
LTR/Gypsy	456	120777	0.004292347774242629
LTR/unknown	586	278113	0.009883982186491967
Low_complexity	1929	98768	0.003510160088149201
MITE/DTC	1	451	1.6028290536968347e-5
MITE/DTM	8	1097	3.898677321298066e-5
Simple_repeat	10775	409362	0.014548499048324693
TIR/Tc1_Mariner	82	34585	0.001229131769891464
Unknown	5607	1463465	0.05201073660905627
