class	n	total	percentage
DNA/DTA	11	3902	1.3900336440152337e-4
DNA/DTC	14	6907	2.460523418557975e-4
DNA/DTH	38	12011	4.278752972390305e-4
DNA/DTM	10	3026	1.0779707346976159e-4
DNA/Helitron	1	2928	1.043059587308202e-4
LINE/unknown	192	64344	0.002292166191453516
LTR/Copia	11	13720	4.887560634517941e-4
LTR/Gypsy	326	75772	0.0026992729183578238
LTR/unknown	682	277730	0.00989374792292032
Low_complexity	1703	84681	0.003016643747023424
MITE/DTC	1	451	1.60662525230874e-5
MITE/DTM	6	665	2.3689707157102264e-5
Simple_repeat	9883	370384	0.013194418790490475
TIR/Tc1_Mariner	16	4180	1.4890673070178567e-4
Unknown	3506	724410	0.025806106408536016
