class	n	total	percentage
DNA/DTC	31	8071	2.930173504319056e-4
DNA/DTH	132	30095	0.0010925978393319538
DNA/DTM	18	5852	2.124566391683201e-4
DNA/DTT	5	2676	9.715207901818603e-5
DNA/Helitron	1	2983	1.0829770243320214e-4
LINE/unknown	33	15030	5.456635828263587e-4
LTR/Copia	15	1655	6.008471254674808e-5
LTR/Gypsy	69	11350	4.12061321695221e-4
LTR/unknown	326	144118	0.005232198551548182
Low_complexity	1665	81872	0.0029723598704697036
MITE/DTC	1	451	1.637353798101715e-5
MITE/DTM	21	2898	1.0521178064077097e-4
Simple_repeat	10141	374429	0.013593630715508362
Unknown	2537	427598	0.015523929254117455
