class	n	total	percentage
DNA/DTA	10	3992	1.5643834714578392e-4
DNA/DTC	20	12831	5.028207495560003e-4
DNA/DTH	107	32519	0.0012743533594272915
DNA/DTM	11	5251	2.057759922000279e-4
DNA/Helitron	1	2928	1.1474235482035454e-4
LINE/unknown	129	48827	0.0019134306553324628
LTR/Gypsy	344	76492	0.002997565643756339
LTR/unknown	682	329665	0.012918899727408532
Low_complexity	1830	91371	0.0035806433409462483
MITE/DTM	5	423	1.6576508227120892e-5
Simple_repeat	10413	388289	0.015216254853429182
Unknown	3552	749340	0.029365107978512456
