class	n	total	percentage
DNA/DTA	10	3995	1.5163987037694824e-4
DNA/DTC	29	16085	6.105450100158229e-4
DNA/DTH	502	73591	0.0027933240803279095
DNA/DTM	2	1853	7.03350888131377e-5
DNA/Helitron	20	16223	6.157831331978052e-4
LINE/unknown	87	35647	0.0013530679497689797
LTR/Gypsy	462	101498	0.0038526016429335404
LTR/unknown	624	299675	0.011374888148989229
Low_complexity	1836	91050	0.003456022577677381
MITE/DTC	1	451	1.71187938773476e-5
MITE/DTM	21	3347	1.2704346587024925e-4
Simple_repeat	10465	390790	0.014833377958600152
TIR/PiggyBac	45	11488	4.360547761928364e-4
Unknown	3381	719114	0.027295708071651756
