class	n	total	percentage
DNA/DTA	10	3995	1.6352370289376375e-4
DNA/DTC	29	16085	6.583926811129387e-4
DNA/DTH	502	73591	0.0030122334967847227
DNA/DTM	2	1853	7.584716432093722e-5
DNA/Helitron	20	16223	6.640413096484428e-4
LINE/unknown	87	35647	0.0014591062420660818
LTR/Gypsy	462	101498	0.0041545253557725235
LTR/unknown	624	299675	0.01226632432157413
Low_complexity	1836	91050	0.003726866870707682
MITE/DTC	1	451	1.8460372967481212e-5
MITE/DTM	21	3347	1.3699970803139605e-4
Simple_repeat	10465	390790	0.015995851778186215
TIR/PiggyBac	45	11488	4.7022785953530863e-4
Unknown	3381	719114	0.029434839570149193
