class	n	total	percentage
DNA/DTA	11	3902	1.6221639983690227e-4
DNA/DTC	14	6907	2.8714215112083134e-4
DNA/DTH	38	12011	4.993288514713052e-4
DNA/DTM	10	3026	1.2579877650088832e-4
DNA/Helitron	1	2928	1.2172465882174521e-4
LINE/unknown	192	64344	0.002674949264763106
LTR/Copia	11	13720	5.703764750800356e-4
LTR/Gypsy	326	75772	0.0031500412733064475
LTR/unknown	682	277730	0.01154596635743282
Low_complexity	1703	84681	0.0035204118284440596
MITE/DTC	1	451	1.8749255849934117e-5
MITE/DTM	6	665	2.7645798537042545e-5
Simple_repeat	9883	370384	0.015397836759915738
TIR/Tc1_Mariner	16	4180	1.737735908042674e-4
Unknown	3506	724410	0.030115628448449606
