class	Histoplasma ohiensis Hc1986	Histoplasma ohiense SECH_99.Nam2_CI_35	Histoplasma ohiense SECH_98.Nam2_CI_30	Histoplasma ohiense SECH_97-Nam2_CI_18	Histoplasma ohiense SECH_96.Nam2_CI_17	Histoplasma ohiense SECH_95.Nam2_CI_10	Histoplasma ohiense SECH_94-Nam2_CI_9	Histoplasma ohiense SECH_93.Nam2_CI_6	Histoplasma ohiense SECH_92-Nam2_G222B	Histoplasma ohiense SECH_91-Nam2_G217B	Histoplasma ohiense SECH_82-Nam1_CI_4	Histoplasma ohiense HCG217B	Histoplasma ohiense HCCI_6	Histoplasma ohiense HCCI_17
DNA/DTC	0.04628888519770546	0.00553685073733038	5.92086177145556e-4	0.00354355099903792	0.00248694869438283	5.311514650333387e-4	0.00150457129306441	1.7191026816859996e-4	0.00125473558092384	0.00113817739153835	4.794634931101329e-4	0.00104901652449751	0.00666850104056247	0.00112241798651739
DNA/DTH	2.5774905144698446e-4	1.6913921387405208e-4	1.7271241174045387e-4	1.7006497005568478e-4	4.477944299547942e-4	1.57738265335362e-4	2.560667455938085e-4	4.789382009863209e-4	1.6467771902364364e-4	1.8459287394369296e-4	3.8616791539499e-4	NA	1.4803657484215612e-4	5.374197307202509e-4
DNA/DTM	0.00381938613591505	6.907503559611637e-5	1.9291028328050696e-4	3.253386048048202e-4	NA	0.00726681843094799	0.00459111216593322	0.00490149372472543	0.01533459621114389	0.00168417520908983	0.00529437021582884	2.884625689039831e-4	6.269494836701526e-4	4.331468939324412e-5
DNA/Helitron	0.01016758784002492	0.0053156011003207	0.00635144741657269	0.00250645900103709	0.0081632210117891	0.0034191258587504	0.01156175211928469	0.00471325938189187	0.02879633340554501	0.03734480858869324	0.01005318948953588	0.00305408379419885	0.00405084456957654	0.00654313521131672
LTR/Copia	0.00486719040908858	2.5122495822971094e-4	1.8095644094047556e-5	NA	0.00283309629901282	0.00299483187664554	0.00160925173451735	0.00205273124394481	0.00232185124881953	0.00214247128874836	0.0028494172782827	0.0020083737693142	0.0013289543193441	0.00133493343814331
LTR/Gypsy	0.2766968390489889	0.05258063352959678	0.01280660472048165	0.06972338221362454	0.02578770689782617	0.01521115877493187	0.01988468742607994	0.0493274206350767	0.03472122248425432	0.01792063438775416	0.0063836389931992	0.1827610092487813	0.05341698190793376	0.19833963886017497
LTR/unknown	0.17709367675941678	0.03075075946210553	0.051372338198767	0.03241269892045899	0.07773383037292105	0.03678241535072421	0.03843408142121838	0.02217464839909673	0.06829094926060514	0.07406530824779675	0.10040718775555288	0.06037789334584371	0.03274751137018273	0.01071563659404923
MITE/DTC	2.658868940273407e-4	1.4092118318777166e-5	1.7436121758045822e-5	1.589183896213234e-4	NA	NA	1.7249043468874572e-4	NA	1.3934009005688348e-5	NA	1.9620892237973088e-4	1.2310806594305694e-5	NA	NA
TIR/Tc1_Mariner	3.79892744755883e-4	4.342197320814576e-4	NA	NA	6.274914961539884e-4	NA	NA	4.6227580353037294e-4	2.5155440955547777e-4	NA	NA	2.6587799565543665e-4	NA	7.188826962638419e-4
Unknown	0.03620602218604051	0.01955560217632322	0.03401119588629538	0.03010443673533573	0.02256702414784082	0.03147337026070795	0.03092689242517893	0.03314489176779029	0.04662957071342565	0.02254773112585655	0.02272186107741204	0.03372762455547139	0.02005869223062502	0.02665561872534308
DNA/DTT	NA	4.7994308000784967e-4	4.924983044092943e-4	1.042470665385034e-4	4.240819866609396e-4	4.5671186118844494e-4	1.4530712836243907e-4	NA	2.3923984953834403e-4	2.416744639604381e-4	4.0381667966252584e-4	NA	1.0926090586782744e-4	1.1544702685531328e-4
LINE/unknown	NA	0.01767421989564465	0.0249232254170675	0.02689227534190985	0.02766620356599617	0.03041153772308263	0.0306371183797405	0.03010569584603471	NA	0.03059797929159063	0.02549245800298436	0.02848239432139394	0.01646742546748674	0.03192551378999445
MITE/DTM	NA	2.853907414917822e-4	NA	9.306510013450914e-6	1.0079719380612444e-5	3.421321023476738e-4	1.8583496688529625e-5	1.1122361753589616e-5	8.839492395860404e-6	8.786942764034801e-6	1.887932030819989e-5	NA	1.6680920152601066e-4	2.0042968289501152e-4
DNA/DTA	NA	NA	NA	NA	NA	NA	0.00923214276712021	NA	3.838768873286248e-4	4.2026404494702326e-4	1.5284801347290473e-4	0.00519191292782008	4.6168709033532094e-4	0.00395757465851307
MITE/DTH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.410101810960981e-5	NA	NA
Low_complexity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003271185330735
Simple_repeat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01343281734354273
