class	n	total	percentage
DNA/DTA	265	377169	0.0095613453431876
DNA/Helitron	387	245627	0.006226716863292426
DNAauto/CACTA	8	457	1.1585084728163592e-5
DNAauto/CACTG	3	156	3.9546459903578125e-6
DNAauto/MULE	5	257	6.515025766166396e-6
DNAauto/POLE	1	48	1.216814150879327e-6
DNAnona/MULE	7	363	9.20215701602491e-6
DNAnona/MULEtir	1	56	1.4196165093592148e-6
DNAnona/hAT	3	127	3.2194874408682194e-6
LINE/unknown	212	417340	0.010579692035999549
LTR/Copia	135	88703	0.002248647200530186
LTR/Gypsy	3582	3499478	0.0887127989810601
LTR/unknown	4982	8074392	0.2046882176113923
Low_complexity	2551	128981	0.0032697063748868016
MITE/Stow	1	41	1.039362087209425e-6
Simple_repeat	13452	519310	0.013164661597773818
TIR/Tc1_Mariner	29	13964	3.5399151672664417e-4
Unknown	1435	452156	0.01146228790010402
