class	n	total	percentage
DNA/DTA	427	134585	0.003957574658513076
DNA/DTC	47	38170	0.0011224179865173987
DNA/DTH	51	18276	5.374197307202509e-4
DNA/DTM	15	1473	4.331468939324412e-5
DNA/DTT	11	3926	1.1544702685531327e-4
DNA/Helitron	258	222512	0.006543135211316726
LINE/unknown	922	1085689	0.03192551378999445
LTR/Copia	41	45397	0.0013349334381433154
LTR/Gypsy	5487	6744924	0.19833963886017497
LTR/unknown	1126	364406	0.010715636594049232
Low_complexity	2265	111243	0.003271185330735001
MITE/DTM	20	6816	2.0042968289501152e-4
Simple_repeat	11739	456809	0.013432817343542739
TIR/Tc1_Mariner	64	24447	7.188826962638419e-4
Unknown	2752	906476	0.026655618725343083
