class	n	total	percentage
DNA/DTA	32	13133	4.6168709033532094e-4
DNA/DTC	471	189690	0.006668501040562478
DNA/DTH	21	4211	1.4803657484215612e-4
DNA/DTM	45	17834	6.269494836701526e-4
DNA/DTT	7	3108	1.0926090586782743e-4
DNA/Helitron	284	115229	0.00405084456957654
LINE/unknown	638	468427	0.01646742546748674
LTR/Copia	94	37803	0.0013289543193441054
LTR/Gypsy	2418	1519482	0.053416981907933765
LTR/unknown	1822	931525	0.03274751137018273
MITE/DTM	15	4745	1.6680920152601066e-4
Unknown	2342	570583	0.020058692230625022
