class	n	total	percentage
DNA/DTA	316	175864	0.005191912927820088
DNA/DTC	60	35533	0.0010490165244975162
DNA/DTM	9	9771	2.884625689039831e-4
DNA/Helitron	134	103450	0.0030540837941988586
LINE/unknown	910	964775	0.028482394321393947
LTR/Copia	81	68029	0.0020083737693142017
LTR/Gypsy	4390	6190605	0.1827610092487813
LTR/unknown	2310	2045161	0.06037789334584371
Low_complexity	2361	115609	0.003413045658419873
MITE/DTC	1	417	1.2310806594305694e-5
MITE/DTH	13	2510	7.410101810960981e-5
Simple_repeat	11505	439708	0.012981199390812874
TIR/Tc1_Mariner	38	9006	2.6587799565543665e-4
Unknown	3118	1142445	0.03372762455547139
