class	n	total	percentage
DNA/DTA	14	4720	1.5284801347290473e-4
DNA/DTC	30	14806	4.794634931101329e-4
DNA/DTH	42	11925	0.00038616791539499763
DNA/DTM	134	163492	0.005294370215828843
DNA/DTT	69	12470	4.0381667966252584e-4
DNA/Helitron	748	310446	0.010053189489535886
LINE/unknown	663	787216	0.02549245800298436
LTR/Copia	223	87991	0.0028494172782827032
LTR/Gypsy	186	197129	0.006383638993199202
LTR/unknown	4138	3100609	0.10040718775555289
MITE/DTC	17	6059	1.9620892237973088e-4
MITE/DTM	8	583	1.8879320308199886e-5
Unknown	2316	701659	0.022721861077412045
