class	n	total	percentage
DNA/DTA	109	12531	4.2026404494702326e-4
DNA/DTC	45	33937	0.0011381773915383553
DNA/DTH	29	5504	1.8459287394369294e-4
DNA/DTM	150	50217	0.0016841752090898307
DNA/DTT	17	7206	2.416744639604381e-4
DNA/Helitron	2109	1113509	0.03734480858869324
LINE/unknown	456	912339	0.030597979291590638
LTR/Copia	53	63882	0.0021424712887483633
LTR/Gypsy	356	534339	0.017920634387754167
LTR/unknown	2950	2208403	0.07406530824779675
Low_complexity	1925	95885	0.0032157862859903703
MITE/DTM	1	262	8.786942764034801e-6
Simple_repeat	10972	413515	0.01386844517965592
Unknown	2145	672305	0.022547731125856556
